year	bottom_CI	top_CI	mean	country	label	corpus
2017	0.70221066319896	0.751625487646294	0.726743823146944	United States		nature_last
2015	0.676354029062087	0.731836195508586	0.704010568031704	United States		nature_last
2014	0.687951807228916	0.737349397590361	0.712989156626506	United States		nature_last
2019	0.677867902665122	0.726593279258401	0.702337195828505	United States		nature_last
2006	0.634980988593156	0.690747782002535	0.662944233206591	United States		nature_last
2018	0.665893271461717	0.718097447795824	0.692649651972158	United States		nature_last
2020	0.645748987854251	0.694331983805668	0.670202429149798	United States	United States	nature_last
2016	0.644705882352941	0.697647058823529	0.671342352941177	United States		nature_last
2005	0.629050279329609	0.681564245810056	0.655823463687151	United States		nature_last
2013	0.668263473053892	0.718562874251497	0.69385628742515	United States		nature_last
2007	0.642176870748299	0.699319727891156	0.670610884353741	United States		nature_last
2012	0.700661057692308	0.751201923076923	0.726091346153846	United States		nature_last
2010	0.684931506849315	0.7359900373599	0.711442092154421	United States		nature_last
2011	0.670063694267516	0.721019108280255	0.695029299363057	United States		nature_last
2008	0.668252080856124	0.721759809750297	0.694021403091558	United States		nature_last
2009	0.644230769230769	0.701923076923077	0.672673076923077	United States		nature_last
2017	0.222366710013004	0.274382314694408	0.248605981794538	United Kingdom		nature_last
2015	0.208718626155878	0.257595772787318	0.232889035667107	United Kingdom		nature_last
2014	0.195180722891566	0.242168674698795	0.217466265060241	United Kingdom		nature_last
2019	0.206257242178447	0.25260718424102	0.228986095017381	United Kingdom		nature_last
2006	0.190114068441065	0.237008871989861	0.213304182509506	United Kingdom		nature_last
2018	0.213457076566125	0.262180974477958	0.237598607888631	United Kingdom		nature_last
2020	0.220647773279352	0.265182186234818	0.243746963562753	United Kingdom	United Kingdom	nature_last
2016	0.194058823529412	0.238823529411765	0.216168235294118	United Kingdom		nature_last
2005	0.196648044692737	0.242458100558659	0.218767597765363	United Kingdom		nature_last
2013	0.174850299401198	0.219161676646707	0.196186826347305	United Kingdom		nature_last
2007	0.174149659863946	0.221768707482993	0.197337414965986	United Kingdom		nature_last
2012	0.179086538461538	0.227163461538462	0.202816105769231	United Kingdom		nature_last
2010	0.168119551681196	0.215442092154421	0.19014196762142	United Kingdom		nature_last
2011	0.174458598726115	0.217834394904459	0.19568025477707	United Kingdom		nature_last
2008	0.184304399524376	0.230677764565993	0.206659928656361	United Kingdom		nature_last
2009	0.15521978021978	0.201923076923077	0.178674450549451	United Kingdom		nature_last
2017	0.19369310793238	0.244473342002601	0.218351105331599	Germany		nature_last
2015	0.170343461030383	0.217965653896962	0.193138705416116	Germany		nature_last
2014	0.177048192771084	0.22289156626506	0.200618072289157	Germany		nature_last
2019	0.199304750869061	0.247972190034762	0.223326767091541	Germany		nature_last
2006	0.124207858048162	0.164765525982256	0.144571609632446	Germany		nature_last
2018	0.187935034802784	0.233178654292343	0.209837587006961	Germany		nature_last
2020	0.190283400809717	0.232793522267206	0.211872469635628	Germany	Germany	nature_last
2016	0.195294117647059	0.243529411764706	0.219261176470588	Germany		nature_last
2005	0.128491620111732	0.167597765363128	0.147886033519553	Germany		nature_last
2013	0.173592814371258	0.217964071856287	0.19582874251497	Germany		nature_last
2007	0.142857142857143	0.186394557823129	0.163302040816327	Germany		nature_last
2012	0.152644230769231	0.195913461538462	0.174072115384615	Germany		nature_last
2010	0.151930261519303	0.195516811955168	0.173029887920299	Germany		nature_last
2011	0.173248407643312	0.217834394904459	0.195410191082803	Germany		nature_last
2008	0.136741973840666	0.178359096313912	0.156986920332937	Germany		nature_last
2009	0.122184065934066	0.164835164835165	0.143229395604396	Germany		nature_last
2017	0.0780234070221066	0.111898569570871	0.0949115734720416	France		nature_last
2015	0.100396301188904	0.138705416116248	0.118482166446499	France		nature_last
