year	bottom_CI	top_CI	mean	country	label	corpus
2020	0.666666666666667	0.8	0.733775	United States	United States	citation
2018	0.681818181818182	0.798701298701299	0.741857142857143	United States		citation
2006	0.692307692307692	0.815384615384615	0.7537	United States		citation
2016	0.727810650887574	0.828698224852071	0.781278106508876	United States		citation
2015	0.712820512820513	0.81025641025641	0.76411282051282	United States		citation
2019	0.713928571428572	0.828571428571429	0.771164285714286	United States		citation
2008	0.556818181818182	0.727272727272727	0.647136363636364	United States		citation
2013	0.746887966804979	0.83402489626556	0.788605809128631	United States		citation
2012	0.691244239631336	0.788018433179724	0.737576036866359	United States		citation
2011	0.678362573099415	0.795321637426901	0.73653216374269	United States		citation
2010	0.632978723404255	0.75	0.692957446808511	United States		citation
2005	0.689189189189189	0.797297297297297	0.744986486486486	United States		citation
2017	0.644736842105263	0.763486842105263	0.706401315789474	United States		citation
2014	0.717514124293785	0.813559322033898	0.767491525423729	United States		citation
2009	0.578947368421053	0.714661654135338	0.647481203007519	United States		citation
2007	0.60377358490566	0.754716981132076	0.6785	United States		citation
2020	0.291666666666667	0.433333333333333	0.355708333333333	United Kingdom	United Kingdom	citation
2018	0.337662337662338	0.467532467532468	0.402571428571429	United Kingdom		citation
2006	0.269230769230769	0.4	0.331061538461538	United Kingdom		citation
2016	0.248520710059172	0.366863905325444	0.307721893491124	United Kingdom		citation
2015	0.251282051282051	0.358974358974359	0.301974358974359	United Kingdom		citation
2019	0.342857142857143	0.478571428571429	0.409221428571429	United Kingdom		citation
2008	0.284090909090909	0.454545454545455	0.365363636363636	United Kingdom		citation
2013	0.190871369294606	0.282157676348548	0.236307053941909	United Kingdom		citation
2012	0.184331797235023	0.28110599078341	0.231119815668203	United Kingdom		citation
2011	0.257017543859649	0.368421052631579	0.310859649122807	United Kingdom		citation
2010	0.276595744680851	0.388297872340426	0.33131914893617	United Kingdom		citation
2005	0.283783783783784	0.418918918918919	0.350351351351351	United Kingdom		citation
2017	0.223684210526316	0.342105263157895	0.284375	United Kingdom		citation
2014	0.141242937853107	0.231638418079096	0.187655367231638	United Kingdom		citation
2009	0.315789473684211	0.451127819548872	0.380556390977444	United Kingdom		citation
2007	0.226415094339623	0.367924528301887	0.291490566037736	United Kingdom		citation
2020	0.199583333333334	0.325	0.26025	Germany	Germany	citation
2018	0.194805194805195	0.311688311688312	0.253519480519481	Germany		citation
2006	0.168846153846154	0.284615384615385	0.221692307692308	Germany		citation
