author	doi	year	author_pos	guessed_gender	gender
(aegis	doi:10.1007/s10751-019-1553-3	2019	last	NA	NA
[authorinst]the	doi:10.1140/epjc/s10052-016-4346-8	2016	last	NA	NA
a-mf	doi:10.1038/sj.onc.1210387	2007	first	NA	NA
aaltje	doi:10.1186/1471-2318-12-19	2012	last	FEMALE	FEMALE
aalya	doi:10.1186/1753-6561-6-S5-O16	2012	first	FEMALE	FEMALE
aam	doi:10.1186/1479-0556-4-1	2006	first	MALE	MALE
aamir	doi:10.1007/s13201-019-1049-y	2019	first	MALE	MALE
aaramde	doi:10.1186/s40068-019-0147-z	2019	first	NA	NA
aarash	doi:10.1186/1752-0509-5-180	2011	first	MALE	MALE
aarjoo	doi:10.1007/s13205-017-0836-0	2017	first	MALE	MALE
aarne	doi:10.1186/cc8938	2010	last	MALE	MALE
aaron	doi:10.1186/1747-5341-5-15	2010	last	MALE	MALE
aaron	doi:10.1186/1478-4491-8-15	2010	first	MALE	MALE
aaron	doi:10.1186/2045-7022-4-S1-P98	2014	first	MALE	MALE
aaron	doi:10.1186/1179-5395-43-18	2013	last	MALE	MALE
aaron	doi:10.1186/1471-2105-13-154	2012	first	MALE	MALE
aaron	doi:10.1186/1471-2474-11-105	2010	first	MALE	MALE
aaron	doi:10.1186/1475-2891-5-35	2006	last	MALE	MALE
aaron	doi:10.1186/gm525	2014	last	MALE	MALE
aaron	doi:10.1007/s11032-017-0730-9	2017	first	MALE	MALE
aaron	doi:10.1186/1471-2202-7-9	2006	last	MALE	MALE
aaron	doi:10.1186/1477-3155-10-34	2012	first	MALE	MALE
aaron	doi:10.1186/s13014-015-0527-0	2015	last	MALE	MALE
aaron	doi:10.1007/s12105-008-0099-5	2008	first	MALE	MALE
aaron	doi:10.1186/s12974-016-0673-9	2016	last	MALE	MALE
aaron	doi:10.1186/1471-213X-14-29	2014	last	MALE	MALE
aaron	doi:10.1186/s12987-016-0045-y	2016	first	MALE	MALE
aaron	doi:10.1186/1757-1146-6-S1-O36	2013	first	MALE	MALE
aaron	doi:10.1007/s00381-011-1423-z	2011	last	MALE	MALE
aaron	doi:10.1038/444553a	2006	first	MALE	MALE
aarthi	doi:10.1186/1475-2867-11-44	2011	first	FEMALE	FEMALE
aarti	doi:10.1007/s13191-011-0064-y	2011	last	FEMALE	FEMALE
aarti	doi:10.1186/1471-2105-9-503	2008	first	FEMALE	FEMALE
aase	doi:10.1186/1471-2334-10-140	2010	last	FEMALE	FEMALE
aashka	doi:10.1007/s12663-020-01339-6	2020	last	FEMALE	FEMALE
