year	address.country_code	num_entries	corpus
2005	ad	0	springer
2006	ad	0	springer
2007	ad	0	springer
2008	ad	0	springer
2009	ad	0	springer
2010	ad	0	springer
2011	ad	1	springer
2012	ad	0	springer
2013	ad	1	springer
2014	ad	3	springer
2015	ad	4	springer
2016	ad	2	springer
2017	ad	3	springer
2018	ad	2	springer
2019	ad	2	springer
2020	ad	7	springer
2005	ae	81	springer
2006	ae	96	springer
2007	ae	115	springer
2008	ae	104	springer
2009	ae	124	springer
2010	ae	138	springer
2011	ae	162	springer
2012	ae	211	springer
2013	ae	272	springer
2014	ae	308	springer
2015	ae	423	springer
2016	ae	494	springer
2017	ae	590	springer
2018	ae	702	springer
2019	ae	784	springer
2020	ae	1252	springer
2005	af	3	springer
2006	af	3	springer
2007	af	4	springer
2008	af	11	springer
2009	af	2	springer
2010	af	8	springer
2011	af	11	springer
2012	af	5	springer
2013	af	8	springer
2014	af	16	springer
2015	af	24	springer
2016	af	7	springer
2017	af	29	springer
2018	af	31	springer
2019	af	36	springer
2020	af	56	springer
2005	ag	0	springer
2006	ag	1	springer
2007	ag	0	springer
2008	ag	0	springer
2009	ag	0	springer
2010	ag	0	springer
2011	ag	0	springer
2012	ag	0	springer
2013	ag	0	springer
2014	ag	0	springer
2015	ag	0	springer
2016	ag	0	springer
2017	ag	1	springer
2018	ag	3	springer
2019	ag	1	springer
2020	ag	3	springer
2005	ai	0	springer
2006	ai	0	springer
2007	ai	0	springer
2008	ai	0	springer
2009	ai	0	springer
2010	ai	0	springer
2011	ai	1	springer
2012	ai	0	springer
2013	ai	0	springer
2014	ai	0	springer
2015	ai	1	springer
2016	ai	0	springer
2017	ai	1	springer
2018	ai	0	springer
2019	ai	3	springer
2020	ai	3	springer
2005	al	5	springer
2006	al	10	springer
2007	al	11	springer
2008	al	15	springer
2009	al	10	springer
2010	al	28	springer
2011	al	27	springer
2012	al	28	springer
2013	al	36	springer
2014	al	47	springer
2015	al	59	springer
2016	al	55	springer
2017	al	56	springer
2018	al	52	springer
2019	al	40	springer
2020	al	59	springer
2005	am	144	springer
2006	am	163	springer
2007	am	249	springer
2008	am	300	springer
2009	am	249	springer
2010	am	286	springer
2011	am	352	springer
2012	am	0	springer
2013	am	380	springer
2014	am	362	springer
2015	am	404	springer
2016	am	0	springer
2017	am	436	springer
2018	am	0	springer
2019	am	449	springer
2020	am	406	springer
2005	ao	2	springer
2006	ao	3	springer
2007	ao	2	springer
2008	ao	5	springer
2009	ao	2	springer
2010	ao	7	springer
2011	ao	9	springer
2012	ao	6	springer
2013	ao	9	springer
2014	ao	14	springer
2015	ao	11	springer
2016	ao	16	springer
2017	ao	21	springer
2018	ao	16	springer
2019	ao	11	springer
2020	ao	18	springer
2005	ar	585	springer
2006	ar	648	springer
2007	ar	711	springer
2008	ar	874	springer
2009	ar	791	springer
2010	ar	925	springer
2011	ar	1104	springer
2012	ar	1189	springer
2013	ar	1214	springer
2014	ar	1299	springer
2015	ar	1375	springer
2016	ar	1434	springer
2017	ar	1493	springer
2018	ar	1679	springer
2019	ar	1752	springer
2020	ar	2108	springer
2005	at	1901	springer
2006	at	2163	springer
2007	at	2372	springer
2008	at	2843	springer
2009	at	2884	springer
2010	at	3106	springer
2011	at	3461	springer
2012	at	3632	springer
2013	at	3728	springer
2014	at	4008	springer
2015	at	4189	springer
2016	at	4424	springer
2017	at	4678	springer
2018	at	4927	springer
2019	at	5119	springer
2020	at	6219	springer
2005	au	3525	springer
2006	au	3922	springer
2007	au	4343	springer
