query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
reiner gamma	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
kyung hee university	us	Americas	Northern America	FALSE	NA	2021-02-14	17120312	node	Kyung Hee Tae Kwon Do, Vons 2370 Truck Service Ramp, University City, San Diego, San Diego County, California, 92122, United States	amenity	dojo	0.301	United States	FALSE
fa	ir	Asia	Southern Asia	FALSE	NA	2021-02-14	257599424	relation	Ø§Ø³ØªØ§Ù† Ù<81>Ø§Ø±Ø³, Ø§ÛŒØ±Ø§Ù†	boundary	administrative	0.623194579839472	Ø§ÛŒØ±Ø§Ù†	FALSE
mit) media lab	dk	Europe	Northern Europe	FALSE	NA	2021-02-14	73788074	node	Dit og Mit Randers, Ribevej, Randers SV, Randers, Randers Kommune, 8940, Danmark	amenity	fast_food	0.101	Danmark	FALSE
editing nature	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
national biosafety agency of burkina faso	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
federal university of mato grosso	br	Americas	South America	FALSE	NA	2021-02-14	156609991	way	Universidade Federal de Mato Grosso, Avenida Fernando CorrÃªa da Costa, Jardim PetrÃ³polis, CuiabÃ¡, RegiÃ£o GeogrÃ¡fica Imediata de CuiabÃ¡, RegiÃ£o GeogrÃ¡fica IntermediÃ¡ria de CuiabÃ¡, Mato Grosso, RegiÃ£o Centro-Oeste, 78060-900, Brasil	amenity	university	0.301	Brasil	FALSE
zoological research museum	in	Asia	Southern Asia	FALSE	NA	2021-02-14	156402278	way	Rajiv Gandhi zoological Park And Wildlife research center, Satara Road, Katraj, Pune City, Pune District, Maharashtra, 411046, India	building	commercial	0.201	India	FALSE
mn	us	Americas	Northern America	FALSE	NA	2021-02-14	258377215	relation	Minnesota, United States	boundary	administrative	0.731102000252045	United States	FALSE
angra dos reis	br	Americas	South America	FALSE	NA	2021-02-14	258502819	relation	Angra dos Reis, RegiÃ£o GeogrÃ¡fica Imediata de Angra dos Reis, RegiÃ£o GeogrÃ¡fica IntermediÃ¡ria do Rio de Janeiro, Rio de Janeiro, RegiÃ£o Sudeste, Brasil	boundary	administrative	0.77569370880422	Brasil	FALSE
museum of zoology of the university of são paulo	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
quest center for transforming biomedical research	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
national centre for text mining	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
nipgr	fr	Europe	Western Europe	FALSE	NA	2021-02-14	258600645	relation	Nay, Pau, PyrÃ©nÃ©es-Atlantiques, Nouvelle-Aquitaine, France mÃ©tropolitaine, 64800, France	boundary	administrative	0.556030189237628	France	FALSE
knowledge futures group	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
internal revenue service	us	Americas	Northern America	FALSE	NA	2021-02-14	139812221	way	Internal Revenue Service, 2970, Market Street, University City, Philadelphia, Philadelphia County, Pennsylvania, 19139, United States	office	government	0.435420222661424	United States	FALSE
irs	de	Europe	Western Europe	FALSE	NA	2021-02-14	97631390	way	WÃ¤rmekraftwerk Irsching, Irsching, Vohburg an der Donau, Landkreis Pfaffenhofen an der Ilm, Bayern, 85088, Deutschland	landuse	industrial	0.33181178765026	Deutschland	FALSE
public resource	us	Americas	Northern America	FALSE	NA	2021-02-14	2979057	node	Children's Resource Center - New Orleans Public Library, 913, Napoleon Avenue, Uptown, New Orleans, Orleans Parish, Louisiana, 70115, United States	amenity	library	0.201	United States	FALSE
rameshwari photocopy services	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
american university's washington college of law	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
american association for the advancement of sciences	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
