query	query_date	place_id	osm_type	display_name	class	type	importance	address.country	address.country_code	un_region	un_subregion
new york university abu dhabi	2021-02-03	148462781	way	Ø¬Ø§Ù…Ø¹Ø© Ù†ÙŠÙˆÙŠÙˆØ±Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø¬Ø²ÙŠØ±Ø© Ø§Ù„Ø³Ø¹Ø¯ÙŠØ§Øª, Ø¬Ø§Ù…Ø¹Ø© Ù†ÙŠÙˆÙŠÙˆØ±Ùƒ Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	amenity	university	0.336487354815963	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
ministry of environmental protection	2021-02-03	139477241	way	The Ministry of Environmental Protection, Ù…Ø§Ø±ÙŠÙ†Ø§ Ø£Ù… Ø§Ù„Ù‚ÙŠÙˆÙŠÙ†, Ø£Ù… Ø§Ù„Ù‚ÙŠÙˆÙŠÙ†, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	landuse	commercial	0.6	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
masdar	2021-02-03	40179978	node	Masdar, Pedestrian Zone Masdar, Ù…Ø¯ÙŠÙ†Ø© Ù…ØµØ¯Ø±, Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ, 46450, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	highway	bus_stop	0.101	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
special committee	2021-02-03	57489199	node	Special Olympics 2019 Local Committee Offices, Ø´Ø§Ø±Ø¹ Ø§Ù„Ø´ÙŠØ® Ø±Ø§Ø´Ø¯ Ø¨Ù† Ø³Ø¹ÙŠØ¯, Fairmont Residences, Ù…Ø¯ÙŠÙ†Ø© Ø®Ù„ÙŠÙ<81>Ø©, Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ, 63171, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	office	government	0.201	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
ias	2021-02-03	258381607	relation	Ø¬Ø²ÙŠØ±Ø© ÙŠØ§Ø³, Ø£Ø¨ÙˆØ¸Ø¨ÙŠ, Ø£Ø¨Ùˆ Ø¸Ø¨ÙŠ, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	place	island	0.392592281336849	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
novaya zemlya	2021-02-03	259223381	relation	Novaya Zemlya, Ø¯Ø¨ÙŠ, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	place	islet	0.45	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
rochester institute of technology	2021-02-03	46292016	node	Rochester Institute of Technology, Ø´Ø§Ø±Ø¹ Ø§Ù„Ø´ÙŠØ® Ù…Ø­Ù…Ø¯ Ø¨Ù† Ø²Ø§ÙŠØ¯, Ø§Ù„Ù…Ø¯ÙŠÙ†Ø© Ø§Ù„Ø¯ÙˆÙ„ÙŠØ©, Ø¯Ø¨ÙŠ, 341296, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	building	public	0.633228686818865	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
manchester business school	2021-02-03	42982352	node	Manchester Business School, Ø´Ø§Ø±Ø¹ Ø§Ù„Ø¨Ø±ÙˆØ¬, Ù‚Ø±ÙŠØ© Ø§Ù„Ù…Ø¹Ø±Ù<81>Ø©, Ø¯Ø¨ÙŠ, 11999, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	building	university	0.301	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
united arab emirates	2021-02-03	258427713	relation	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	boundary	administrative	0.715277344543931	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
american university of sharjah	2021-02-03	53275531	node	American university sharjah, STAIR 06, Al Juraina 1, Ù…Ù„ÙˆÙŠÙ„Ø­, Ø§Ù„Ø´Ø§Ø±Ù‚Ø©, 120100, Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	amenity	university	0.641036070852761	Ø§Ù„Ø¥Ù…Ø§Ø±Ø§Øª Ø§Ù„Ø¹Ø±Ø¨ÙŠØ© Ø§Ù„Ù…ØªØ­Ø¯Ø©	ae	Asia	Western Asia
jaea	2021-02-03	176884644	way	Ø¯ Ø¬Ù„Ø§Ù„ Ø§Ø¨Ø§Ø¯ Ù‡ÙˆØ§ÙŠÙŠ Ú‰Ú«Ø±, Jalalabad Torkham Highway, Khoshkombat, Ø¨Ù‡Ø³ÙˆØ¯ ÙˆÙ„Ø³ÙˆØ§Ù„Û<8d>, Ù†Ù†Ú¯Ø±Ù‡Ø§Ø± ÙˆÙ„Ø§ÙŠØª, 0039, Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	aeroway	aerodrome	0.335429261886761	Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	af	Asia	Southern Asia
sra	2021-02-03	17142841	node	Sra, Ø­ØµØ§Ø±Ú© ÙˆÙ„Ø³ÙˆØ§Ù„Û<8d>, Ù†Ù†Ú¯Ø±Ù‡Ø§Ø± ÙˆÙ„Ø§ÙŠØª, Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	place	town	0.4	Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	af	Asia	Southern Asia
afghanistan	2021-02-03	258408076	relation	Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	boundary	administrative	0.747027482837314	Ø§Ù<81>ØºØ§Ù†Ø³ØªØ§Ù†	af	Asia	Southern Asia
aei	2021-02-03	258465287	relation	Anguilla	boundary	administrative	0.597033622148582	Anguilla	ai	Americas	Caribbean
polytechnic university of tirana	2021-02-03	185277358	way	Universiteti Politeknik i TiranÃ«s, 4, Sheshi NÃ«nÃ« Tereza, Libri Universitar, NjÃ«sia Bashkiake Nr. 5, TiranÃ«, Bashkia TiranÃ«, Qarku i TiranÃ«s, ShqipÃ«ria qendrore, 1001-1028, ShqipÃ«ria	amenity	university	0.351332014915526	ShqipÃ«ria	al	Europe	Southern Europe
albania	2021-02-03	258008970	relation	ShqipÃ«ria	boundary	administrative	0.727911798893737	ShqipÃ«ria	al	Europe	Southern Europe
romesberg	2021-02-03	6516142	node	RomÃ«s, Armen, Bashkia SelenicÃ«, Qarku i VlorÃ«s, ShqipÃ«ria jugore, 9427, ShqipÃ«ria	place	village	0.275	ShqipÃ«ria	al	Europe	Southern Europe
university of tirana	2021-02-03	185277358	way	Universiteti Politeknik i TiranÃ«s, 4, Sheshi NÃ«nÃ« Tereza, Libri Universitar, NjÃ«sia Bashkiake Nr. 5, TiranÃ«, Bashkia TiranÃ«, Qarku i TiranÃ«s, ShqipÃ«ria qendrore, 1001-1028, ShqipÃ«ria	amenity	university	0.351332014915526	ShqipÃ«ria	al	Europe	Southern Europe
armenia	2021-02-03	257747794	relation	Õ€Õ¡ÕµÕ¡Õ½Õ¿Õ¡Õ¶	boundary	administrative	0.731601485333362	Õ€Õ¡ÕµÕ¡Õ½Õ¿Õ¡Õ¶	am	Asia	Western Asia
angola	2021-02-03	258358160	relation	Angola	boundary	administrative	0.821117617604629	Angola	ao	Africa	Middle Africa
nam	2021-02-03	258455224	relation	Namibe, Angola	boundary	administrative	0.595173613781596	Angola	ao	Africa	Middle Africa
svp	2021-02-03	214275822	way	Aeroporto de CuÃ­to, EN250;EN140, CuÃ­to, BiÃ©, Angola	aeroway	aerodrome	0.329555066820797	Angola	ao	Africa	Middle Africa
teva	2021-02-03	10960093	node	Teva, Huambo, Angola	place	village	0.375	Angola	ao	Africa	Middle Africa
cnn	2021-02-03	257882605	relation	Cunene, Angola	boundary	administrative	0.473432996069115	Angola	ao	Africa	Middle Africa
ponta	2021-02-03	259503510	relation	Ponta, MunicÃ­pio de Luanda, Luanda, Angola	boundary	administrative	0.5	Angola	ao	Africa	Middle Africa
cvi	2021-02-03	155461170	way	Aeropuerto de Caleta Olivia, Ruta Provincial 99, Km. 8, Caleta Olivia, Deseado, Santa Cruz, 9013, Argentina	aeroway	aerodrome	0.119931111449547	Argentina	ar	Americas	South America
epa	2021-02-03	96252367	way	El Palomar, JosÃ© Bianco, El Palomar, Partido de MorÃ³n, Buenos Aires, 1684, Argentina	aeroway	aerodrome	0.351537799411788	Argentina	ar	Americas	South America
auger observatory	2021-02-03	10519055	node	Observatorio Pierre Auger, 304, Avenida San MartÃ­n (Norte), MalargÃ¼e, Distrito Ciudad de MalargÃ¼e, Departamento MalargÃ¼e, Mendoza, Argentina	tourism	attraction	0.43489332460211	Argentina	ar	Americas	South America
la pampa	2021-02-03	258441426	relation	La Pampa, Argentina	boundary	administrative	0.710733717290293	Argentina	ar	Americas	South America
ianigla	2021-02-03	25557881	node	Instituto Argentino de NivologÃ­a, GlaciologÃ­a y Ciencias Ambientales (IANIGLA), Avenida AdriÃ¡n Ruiz Leal, Ciudad de Mendoza, SecciÃ³n 9Âª Parque General San MartÃ­n, Departamento Capital, Mendoza, M5547, Argentina	amenity	college	0.101	Argentina	ar	Americas	South America
corrientes	2021-02-03	257819256	relation	Corrientes, Argentina	boundary	administrative	0.638272357177901	Argentina	ar	Americas	South America
ar	2021-02-03	258404994	relation	Argentina	boundary	administrative	0.910104194561691	Argentina	ar	Americas	South America
anses	2021-02-03	76657057	node	ANSES, 1192, Doctor Arturo R. de la Serna, General Lavalle, Partido de General Lavalle, Buenos Aires, 7103, Argentina	office	government	0.375244632729739	Argentina	ar	Americas	South America
atic	2021-02-03	50671745	node	Atic, Ingeniero White, Partido de BahÃ­a Blanca, Buenos Aires, 8013, Argentina	place	neighbourhood	0.35	Argentina	ar	Americas	South America
argentina	2021-02-03	258404994	relation	Argentina	boundary	administrative	0.910104194561691	Argentina	ar	Americas	South America
westinghouse	2021-02-03	129730400	way	Westinghouse, ItuzaingÃ³, CÃ³rdoba, Municipio de CÃ³rdoba, PedanÃ­a Capital, Departamento Capital, CÃ³rdoba, X5020, Argentina	highway	residential	0.2	Argentina	ar	Americas	South America
córdoba national observatory	2021-02-03	122297187	way	Observatorio AstronÃ³mico de CÃ³rdoba, 854, Francisco N. de Laprida, Observatorio, CÃ³rdoba, Municipio de CÃ³rdoba, PedanÃ­a Capital, Departamento Capital, CÃ³rdoba, X5000, Argentina	building	public	0.101	Argentina	ar	Americas	South America
us epa	2021-02-03	96252367	way	El Palomar, JosÃ© Bianco, El Palomar, Partido de MorÃ³n, Buenos Aires, 1684, Argentina	aeroway	aerodrome	0.351537799411788	Argentina	ar	Americas	South America
