file_id	year	authors	journo_file_id
445014a	2007	Alexandra Witze	445014a
445018a	2007	Jim Giles	445018a
445140a	2007	Colin Macilwain	445140a
445144a	2007	Navroz Patel	445144a
445250a	2007	Alison Abbott	445250a
445254a	2007	Mark Buchanan	445254a
445356a	2007	Michael Cherry	445356a
445359a	2007	Tom Siegfried	445359a
445362a	2007	Philip Ball	445362a
445474a	2007	Geoff Brumfiel	445474a
445479a	2007	Bruce Goldman	445479a
445481a	2007	Thomas Hayden	445481a
445586a	2007	Declan Butler	445586a
445590a	2007	Zoë Corbyn	445590a
445700a	2007	Jennifer Ouellette	445700a
445703a	2007	Mark Schrope	445703a
445706a	2007	Apoorva Mandavilli	445706a
445811a	2007	Declan Butler	445811a
445812a	2007	David Cyranoski	445812a
445816a	2007	Heidi Ledford	445816a
446016a	2007	Ed Gerstner	446016a
446020a	2007	Helen Pearson	446020a
446126a	2007	Nicola Jones	446126a
446127a	2007	Lucy Odling-Smee	446127a
446129a	2007	Alexandra Witze	446129a
446133a	2007	Quirin Schiermeier	446133a
446247a	2007	John Whitfield	446247a
446250a	2007	Emma Marris	446250a
446253a	2007	Brendan Borrell	446253a
446255a	2007	Henry Nicholls	446255a
446364a	2007	Katharine Sanderson	446364a
446366a	2007	Jim Giles	446366a
446369a	2007	Emma Marris	446369a
446485a	2007		446485a
446488a	2007	Jo Marchant	446488a
446600a	2007	Jeff Kanipe	446600a
446605a	2007	Rex Dalton	446605a
446608a	2007	David Cyranoski	446608a
446716a	2007	Jim Giles	446716a
446718a	2007	Gabrielle Walker	446718a
446723a	2007	Amanda Haag	446723a
446847a	2007		446847a
446850a	2007	Declan Butler	446850a
446854a	2007	Declan Butler	446854a
446964a	2007	Erika Check	446964a
446968a	2007	Colin Macilwain	446968a
446971a	2007	Rex Dalton	446971a
447018a	2007	Ichiko Fuyuno	447018a
447022a	2007	Haim Watzman	447022a
447026a	2007	Michael Cherry	447026a
4471046a	2007	Daemon Fairless	4471046a
4471049a	2007	Kris Novak	4471049a
447132a	2007	Oliver Morton	447132a
447138a	2007	Helen Pearson	447138a
447141a	2007	Emma Marris	447141a
447248a	2007	Meredith Wadman	447248a
447251a	2007		447251a
447252a	2007	Erika Check	447252a
447254a	2007	Lucy Odling-Smee	447254a
447256a	2007	Rex Dalton	447256a
447368a	2007	Alison Abbott	447368a
447372a	2007	Geoff Brumfiel	447372a
447374a	2007	Eric Sorensen	447374a
447522a	2007	Quirin Schiermeier	447522a
447525a	2007	Kendall Powell	447525a
447630a	2007	Alison Abbott	447630a
447635a	2007	Carl Gierstorfer	447635a
447768a	2007	Dan Jones	447768a
447772a	2007	Philip Ball	447772a
447900a	2007	Andreas Trabesinger	447900a
447905a	2007	Josie Glausiusz	447905a
448015a	2007	Mark Buchanan	448015a
448018a	2007		448018a
448122a	2007	Nick Lane	448122a
448126a	2007	Jane Qiu	448126a
448240a	2007	Jenny Hogan	448240a
448245a	2007	Geoff Brumfiel	448245a
448402a	2007	Michael Hopkin	448402a
448404a	2007	Michael Hopkin	448404a
448406a	2007	Meredith Wadman	448406a
448526a	2007	Ned Stafford	448526a
448530a	2007	Heidi Ledford	448530a
448638a	2007	Claire Ainsworth	448638a
448642a	2007	K. S. Jayaraman	448642a
448742a	2007	Corinna Wu	448742a
448746a	2007	Katharine Sanderson	448746a
448855a	2007	Erika Check	448855a
448860a	2007	Emma Marris	448860a
448984a	2007	Brendan Maher	448984a
448988a	2007	David Chandler	448988a
449016a	2007	Jerry Guo	449016a
449020a	2007	Rex Dalton	449020a
449133a	2007	Navroz Patel	449133a
449136a	2007	John Whitfield	449136a
449274a	2007	Heidi Ledford	449274a
449278a	2007	David Cyranoski	449278a
449395a	2007	Brendan Maher	449395a
449398a	2007	Jane Qiu	449398a
NA	2007	Gabrielle Walker	4501150a
NA	2007	Jeff Tollefson	450342a
450021a.html	2007	Ishani Ganguli	450021a
NA	2007	Stephen Pincock	450336a
450152a.html	2007	Emma Marris	450152a
NA	2007	David Cyranoski	450024a
450156a.html	2007	Ewen Callaway	450156a
NA	2007	Jeff Tollefson	450340a
NA	2007	Richard A. Muller	450345a
450606a.html	2007	Eric Hand	450606a
450472a.html	2007	Mark Schrope	450472a
NA	2007	David Cyranoski	450475a
450778a.html	2007	Declan Butler	450778a
NA	2007	Erika Check Hayden	450603a
450780a.html	2007	Quirin Schiermeier	450780a
NA	2007	Alexandra Witze	450782a
450940a.html	2007	Rex Dalton	450940a
NA	2007	Alison Abbott	449532a
NA	2007		449528a
450942a.html	2007	Alison Abbott	450942a
449652a.html	2007	Daemon Fairless	449652a
NA	2007	Amanda Haag	450785a
450018a.html	2007	Alison Abbott	450018a
NA	2007	Emma Marris	450937a
449656a.html	2007	Geoff Brumfiel	449656a
449773a.html	2007	Brendan Maher	449773a
449524a.html	2007	Quirin Schiermeier	449524a
449778a.html	2007	Nick Lane	449778a
449968a.html	2007	Rex Dalton	449968a
449964a.html	2007	Daemon Fairless	449964a
