file_id	year	authors	journo_file_id
439010a	2006	Geoff Brumfiel	439010a
439014a	2006	Rex Dalton	439014a
439130a	2006	John Whitfield	439130a
439132a	2006	Ichiko Fuyuno	439132a
439134a	2006	Roxanne Khamsi	439134a
439256a	2006	Quirin Schiermeier	439256a
439262a	2006	Rex Dalton	439262a
439382a	2006	Apoorva Mandavilli	439382a
439384a	2006	Virginia Gewin	439384a
439388a	2006	John Whitfield	439388a
439524a	2006	Alison Abbott	439524a
439526a	2006	Jeff Kanipe	439526a
439530a	2006	Carina Dennis	439530a
439648a	2006	Alison Abbott	439648a
439652a	2006	Carina Dennis	439652a
439655a	2006	Phyllida Brown	439655a
439776a	2006	Declan Butler	439776a
439779a	2006	Meredith Wadman	439779a
439905a	2006	Christina Reed	439905a
439908a	2006	John Whitfield	439908a
440014a	2006	Jenny Hogan	440014a
440016a	2006	Geoff Brumfiel	440016a
440020a	2006	Quirin Schiermeier	440020a
4401104a	2006	Helen Pilcher	4401104a
4401106a	2006	Michael Bawaya	4401106a
4401108a	2006	David Cyranoski	4401108a
440140a	2006	Tony Reichhardt	440140a
440144a	2006	Michael Hopkin	440144a
440268a	2006	Jenny Hogan	440268a
440270a	2006	Jim Giles	440270a
440274a	2006	Alison Abbott	440274a
440398a	2006	Philip Ball	440398a
440399a	2006	Jacqueline Ruttimann	440399a
440402a	2006	Declan Butler	440402a
440597a	2006	Kendall Powell	440597a
440600a	2006	Nick Lane	440600a
440730a	2006	Claire Ainsworth	440730a
440734a	2006	Samir S. Patel	440734a
440860a	2006	Emma Marris	440860a
440864a	2006	Naomi Lubick	440864a
440984a	2006	Jim Giles	440984a
440987a	2006	Geoff Brumfiel	440987a
441017a	2006	Erika Check	441017a
441020a	2006	Jacqueline Ruttimann	441020a
4411040a	2006		4411040a
441143a	2006	Jane Qiu	441143a
441146a	2006	Quirin Schiermeier	441146a
441271a	2006	Apoorva Mandavilli	441271a
441274a	2006	Nick Lane	441274a
441277a	2006	Charlotte Schubert	441277a
441398a	2006	Helen Pearson	441398a
441402a	2006	Stuart Clark	441402a
441564a	2006	Alexandra Witze	441564a
441567a	2006	Rex Dalton	441567a
441570a	2006	Emma Marris	441570a
441683a	2006	Garry Hamilton	441683a
441686a	2006	Philip Ball	441686a
441802a	2006	Gabrielle Walker	441802a
441807a	2006	Laura Spinney	441807a
441922a	2006	John Whitfield	441922a
441924a	2006	Alison Abbott	441924a
441927a	2006	Erika Check	441927a
442018a	2006	Geoff Brumfiel	442018a
442022a	2006	Sarah Tomlin	442022a
442125a	2006	Alison Abbott	442125a
442128a	2006	Alexandra Witze	442128a
442238a	2006	Rex Dalton	442238a
442242a	2006	Colin Macilwain	442242a
442344a	2006	Jim Giles	442344a
442348a	2006	Erika Check	442348a
442351a	2006	Jenny Hogan	442351a
442500a	2006	Philip Ball	442500a
442504a	2006	Sharon Levy	442504a
442507a	2006	Carina Dennis	442507a
442617a	2006	Erika Check	442617a
442620a	2006	Quirin Schiermeier	442620a
442624a	2006	Emma Marris	442624a
442735a	2006		442735a
442736a	2006	Laura Spinney	442736a
442739a	2006	Carina Dennis	442739a
442742a	2006	Alison Abbott	442742a
442862a	2006	Apoorva Mandavilli	442862a
442865a	2006	Kendall Powell	442865a
442975a	2006	Helen Pilcher	442975a
442978a	2006	Jacqueline Ruttimann	442978a
443019a	2006	Oliver Morton	443019a
443023a	2006	Carina Dennis	443023a
443138a	2006	Henry Nicholls	443138a
443141a	2006	Jeff Kanipe	443141a
443261a	2006	Helen Pearson	443261a
443265a	2006	Amanda Haag	443265a
443268a	2006	Rex Dalton	443268a
443386a	2006	Geoff Brumfiel	443386a
443390a	2006	Virginia Hughes	443390a
443392a	2006	Mike Shanahan	443392a
443498a	2006	Emma Marris	443498a
443502a	2006	Jonah Lehrer	443502a
443505a	2006	Britta Danger	443505a
443622a	2006	Mark Schrope	443622a
443626a	2006	Natasha Bolognesi	443626a
443629a	2006	Erika Check	443629a
443740a	2006	Geoff Brumfiel; Meredith Wadman; Emma Marris; Heidi Ledford	443740a
443744a	2006		443744a
443746a	2006	Henry Nicholls	443746a
443898a	2006	Rex Dalton	443898a
443901a	2006	Nick Lane	443901a
443904a	2006	Emma Marris	443904a
444019a	2006		444019a
444020a	2006		444020a
444022a	2006	Ehsan Masood	444022a
444026a	2006	Declan Butler	444026a
444028a	2006	Jim Giles	444028a
444029a	2006	Declan Butler	444029a
4441000a	2006	Helen Pearson	4441000a
444138a	2006	Jenny Hogan	444138a
444143a	2006	Jane Qiu	444143a
444259a	2006	Helen Pearson	444259a
444262a	2006	David Cyranoski	444262a
444264a	2006	Trevor Stokes	444264a
444416a	2006	Michael Cherry	444416a
444418a	2006	Tony Reichhardt	444418a
444420a	2006	Michael Hopkin	444420a
444534a	2006	Jo Marchant	444534a
444539a	2006	John Whitfield	444539a
444543a	2006	Trevor Stokes	444543a
444807a	2006		444807a
444808a	2006	Emma Marris	444808a
444811a	2006	Kerri Smith	444811a
444812a	2006	David Cyranoski	444812a
444814a	2006	Jane Qiu	444814a
444994a	2006	Erika Check	444994a
444997a	2006	Mark Schrope	444997a
