file_id	year	authors	journo_file_id
434795a	2005	Tim Chapman	434795a
434795b	2005		434795b
434796a	2005		434796a
434797a	2005		434797a
434799a	2005		434799a
435235a	2005	Pete Moore	435235a
435235b	2005		435235b
435236a	2005		435236a
435237a	2005		435237a
435238a	2005		435238a
435239a	2005		435239a
435991a	2005	Caitlin Smith	435991a
435991b	2005		435991b
435992a	2005		435992a
435993a	2005		435993a
435995a	2005		435995a
4371195a	2005	Diane Gershon	4371195a
4371195b	2005		4371195b
4371196a	2005		4371196a
4371198a	2005		4371198a
4371199a	2005		4371199a
437775a	2005	Lisa Melton	437775a
437780a	2005		437780a
438699a	2005	Pete Moore	438699a
438699b	2005		438699b
438700a	2005		438700a
438701a	2005		438701a
438702a	2005		438702a
438703a	2005		438703a
444963a	2005		444963a
