file_id	year	authors	journo_file_id
how-to-catch-a-cloud-1.17672	2015	Nadia Drake	522115a
annotating-the-scholarly-web-1.18900	2015	Jeffrey M. Perkel	528153a
lab-inventory-management-time-to-take-stock-1.18108	2015	Jeffrey M. Perkel	524125a
leading-mathematician-launches-arxiv-overlay-journal-1.18351	2015	Philip Ball	nature.2015.18351
eight-ways-to-clean-a-digital-library-1.18695	2015	Jeffrey M. Perkel	527123a
digital-badges-aim-to-clear-up-politics-of-authorship-1.18443	2015	Dalmeet Singh Chawla	526145a
motion-studies-see-how-they-run-1.18258	2015	Boer Deng	525145a
computers-read-the-fossil-record-1.17868	2015	Ewen Callaway	523115a
programming-pick-up-python-1.16833	2015	Jeffrey M. Perkel	518125a
data-visualization-science-on-the-map-1.17024	2015	Mark Zastrow	519119a
rate-that-journal-1.17225	2015	Jeffrey M. Perkel	520119a
the-trouble-with-reference-rot-1.17465	2015	Jeffrey M. Perkel	521111a
living-figures-make-their-debut-1.17382	2015	Dalmeet Singh Chawla	nature.2015.17382
researchers-argue-for-standard-format-to-cite-lab-resources-1.17652	2015	Dalmeet Singh Chawla	nature.2015.17652
