file_id	year	authors	journo_file_id
481033a	2012	Christopher A. Voigt	481033a
481035a	2012	Robert W. Boyd; Zhimin Shi	481035a
481036a	2012	Marina E. Wolf	481036a
481149a	2012	Pilar Ruiz-Lapuente	481149a
481151a	2012		481151a
481152a	2012	Tomás Palacios	481152a
481153a	2012	Andrew M. Walker	481153a
481154a	2012	Lars Chittka; Adrian Dyer	481154a
481269a	2012	Julien Sage; Michael L. Cleary	481269a
481271a	2012	Robert W. Schmidt	481271a
481272a	2012		481272a
481274a	2012	Jonathan Clayden	481274a
481275a	2012	Geneviève Deblois; Vincent Giguère	481275a
481449a	2012	Joseph Henrich	481449a
481450a	2012	Sharon C. Glotzer	481450a
481452a	2012	Jon Marangos	481452a
481453a	2012	Ilya A. Shestopalov; Leonard I. Zon	481453a
481454a	2012	Francesca Cesari; Deepa Nath	481454a
481455a	2012	Paul Leeson	481455a
481455b	2012		481455b
482038a	2012	Jon Blundy; Alison Rust	482038a
482039a	2012	Timothy E. Holy	482039a
482041a	2012	Peidong Yang	482041a
482043a	2012		482043a
482044a	2012	Wilhelm J. Walter; Stefan Diez	482044a
482045a	2012	Linda Young	482045a
482164a	2012	Renato Renner	482164a
482165a	2012	Robert Plomin	482165a
482166a	2012	Didier Queloz	482166a
482167a	2012	Alan H. Fairlamb	482167a
482169a	2012	Bernhard W. Adams	482169a
482170a	2012	Geng Tian; Daniel Finley	482170a
482312a	2012	Richard N. Zare	482312a
482313a	2012	Jeffrey S. McKinnon; Eric B. Taylor	482313a
482314a	2012	Cin-Ty A. Lee; Stephen P. Grand	482314a
482316a	2012	Ju Huang; John H. Brumell	482316a
482317a	2012	Noam Soker; Amit Kashi	482317a
482318a	2012	Oliver P. Ernst; Thomas P. Sakmar	482318a
482474a	2012	David J. Stephens	482474a
482475a	2012	Uroš Seljak	482475a
482476a	2012	Rosamund Daw	482476a
482477a	2012	Matthias P. Lutolf	482477a
482478a	2012	James D. Franson	482478a
482479a	2012		482479a
482480a	2012	Rebecca L. Kow; Neil M. Nathanson	482480a
483039a	2012	Simon Gächter	483039a
483041a	2012	Brigitte Meyer-Berthaud; Anne-Laure Decombeix	483041a
483042a	2012	Danielle M. Schultz; John P. Wolfe	483042a
483043a	2012	Robert C. R. Wootton; Andrew J. deMello	483043a
483044a	2012	David B. Solit; Pasi A. Jänne	483044a
483160a	2012	Kim Hill; A. Magdalena Hurtado	483160a
483161a	2012	Misha Y. Ivanov	483161a
483162a	2012		483162a
483163a	2012	Philip A. Gottlieb; Frederick Sachs	483163a
483164a	2012	Richard A Gibbs; Jeffrey Rogers	483164a
483165a	2012	Tim I. Eglinton	483165a
483167a	2012	Richard A Register	483167a
483278a	2012	Noah Z. Burns; Eric N. Jacobsen	483278a
483279a	2012	Vincent Garcia; Manuel Bibes	483279a
483280a	2012	Henry Gee	483280a
483281a	2012	Elizabeth M. McNally	483281a
483282a	2012	Jonathan Simon; Markus Greiner	483282a
483285a	2012	David E. Cane	483285a
483286a	2012	Stephen Buratowski	483286a
483410a	2012	David W. Pfennig; David W. Kikuchi	483410a
483411a	2012	Tamás Vicsek	483411a
483412a	2012	Alysia Vandenberg; Geneviève Almouzni	483412a
483413a	2012	Henrik Svensen	483413a
483417a	2012	F. Javier García de Abajo	483417a
483544a	2012	John N. Weinstein	483544a
483545a	2012	Rupert Huber	483545a
483546a	2012	Leisa Johnson	483546a
483547a	2012		483547a
483549a	2012	Robert E. Kopp	483549a
483550a	2012	Daniel E. Lieberman	483550a
484040a	2012	Dirk Brockmann	484040a
484041a	2012	Eric W. Wolff	484041a
484042a	2012	Eduardo Dias-Ferreira; Rui M. Costa	484042a
484043a	2012	Vladan Vuletic	484043a
484044a	2012	Oriol Casanovas	484044a
484046a	2012	Hopi E. Hoekstra	484046a
484171a	2012	Tommy Kaplan; Nir Friedman	484171a
484172a	2012	Susanne Höfner	484172a
484173a	2012	Gerald L. Hazelbauer	484173a
484174a	2012		484174a
484320a	2012	Henrik Mouritsen	484320a
484321a	2012	Franz Kreupl	484321a
484324a	2012		484324a
484324b	2012	Alexey Bezryadin	484324b
484325a	2012	François Rouyer	484325a
484459a	2012	Deborah Yelon	484459a
484461a	2012	Christian Roos	484461a
484462a	2012	Nate Bastian	484462a
484463a	2012	Eric T. Boder	484463a
484464a	2012		484464a
485045a	2012	Joseph Bass	485045a
485047a	2012	Mone Zaidi; Jameel Iqbal	485047a
485049a	2012	Robert West	485049a
485050a	2012	Antonio Gentilella; George Thomas	485050a
485051a	2012	Ian Jackson	485051a
485052a	2012	David J. Stevenson	485052a
485177a	2012	Antonio J. Pons	485177a
485179a	2012	Klitos Konstantinidis; Richard N. Kitsis	485179a
485180a	2012	Jochem Marotzke	485180a
485181a	2012	Anisa Shaker; Deborah C. Rubin	485181a
485182a	2012		485182a
485313a	2012	Manfred Lein	485313a
485314a	2012	Marta Filizola; Lakshmi A. Devi	485314a
485317a	2012	Andrew Jackson	485317a
485318a	2012	Dheeraj Malhotra; Jonathan Sebat	485318a
485319a	2012	Bruce Buffett	485319a
485450a	2012	Thomas E. Mallouk	485450a
485451a	2012	Peter Carmeliet; Bart De Strooper	485451a
485452a	2012	William M. White	485452a
485453a	2012	Joseph R. Fetcho	485453a
485455a	2012	Jonathan Butterworth	485455a
485584a	2012	Paul W. K. Rothemund; Ebbe Sloth Andersen	485584a
485585a	2012	Nathan J. Palpant; Charles E. Murry	485585a
485589a	2012	Gordon D. Brown	485589a
485590a	2012	Robert U. Svensson; Reuben J. Shaw	485590a
486036a	2012	Edgar Hertwich	486036a
486037a	2012	Michael Polymenis; Brian K. Kennedy	486037a
486040a	2012	Chris J. Ballentine	486040a
486041a	2012	Thomas D. Mrsic-Flogel; Tobias Bonhoeffer	486041a
486194a	2012	David A. Relman	486194a
486195a	2012	Frank Wilczek	486195a
486196a	2012		486196a
486197a	2012	Dilano Saldin	486197a
