file_id	year	authors	journo_file_id
517150a	2015	Michael Jakob; Jérôme Hilaire	517150a
517151a	2015		517151a
517153a	2015	John J. L. Morton; Klaus Mølmer	517153a
517155a	2015	Meritxell Huch	517155a
517274a	2015	Stacy C. Farina; Adam P. Summers	517274a
517275a	2015	Jon Woodhead	517275a
517277a	2015	Shekhar Garde	517277a
517280a	2015	Emmanuelle Schulz	517280a
517440a	2015	Christopher M. B. K. Kourra; Nicolai Cramer	517440a
517444a	2015	Molly S. Peeples	517444a
517445a	2015	Bronwen Konecky	517445a
517556a	2015	Emma L. Rawlins	517556a
517557a	2015	David Soderblom	517557a
517559a	2015	V. Alan Kostelecký	517559a
517560a	2015	Seung Woo Cho; Howard Y. Chang	517560a
517562a	2015	James Risbey	517562a
517563a	2015	Dominik Wodarz; Ann G. Zauber	517563a
518038a	2015	Christoph Rader	518038a
518039a	2015	Catherine A. Rychert	518039a
518042a	2015	Jennifer A. Lewis; Bok Y. Ahn	518042a
518046a	2015		518046a
518046b	2015	David W. Lea	518046b
518170a	2015	David Spergel; Brian Keating	518170a
518173a	2015	Kaitlin M. Kratter	518173a
518175a	2015		518175a
518176a	2015	Katherine A. Allen	518176a
518307a	2015	Margarita Hernanz	518307a
518308a	2015	Magdalena Skipper	518308a
518309a	2015		518309a
518310a	2015	Emanuele Di Lorenzo	518310a
518314a	2015	Casey E. Romanoski; Christopher K. Glass; Hendrik G. Stunnenberg; Laurence Wilson; Genevieve Almouzni	518314a
518486a	2015	Bernhard Schölkopf	518486a
518487a	2015	Manuel Pardo-de-Santayana; Manuel J. Macía	518487a
518490a	2015		518490a
518490b	2015	Bram Venemans	518490b
518491a	2015	Wolfgang Tittel	518491a
518492a	2015	Dominik Theler; Frédéric H.-T. Allain	518492a
519037a	2015	Amanda S. Barnard	519037a
519041a	2015	Mathias Ulbricht	519041a
519042a	2015	James J. Devery III; Corey R. J. Stephenson	519042a
519162a	2015	Gabriel Tobie	519162a
519165a	2015		519165a
519167a	2015	Ben Booth; Nicolas Bellouin	519167a
519168a	2015	Jennifer A. Clack	519168a
519295a	2015	Lars O. Hedin	519295a
519298a	2015	Michael Debije	519298a
519299a	2015	Alim Louis Benabid	519299a
519417a	2015	Alan K. Soper	519417a
519418a	2015	Michael Weinreich	519418a
519420a	2015	Nathalie Le Bot	519420a
519420b	2015	James K. Thompson	519420b
519421a	2015		519421a
519423a	2015	James E. Geach	519423a
520036a	2015	Lindsay J. LeBlanc	520036a
520038a	2015	Brian McGill	520038a
520040a	2015	Martin J. Duncan	520040a
520042a	2015	Andrew J. Hamilton; Robert M. May; Edward K. Waters	520042a
520161a	2015	Geoffrey A. Blake; Edwin A. Bergin	520161a
520166a	2015	Andreas Türler	520166a
520168a	2015	Richard M. O'Connor; Paul J. Kenny	520168a
520169a	2015	Robin M. Canup	520169a
520169b	2015		520169b
520299a	2015	Richard W. Carlson	520299a
520302a	2015	Joel M. Hawkins	520302a
520438a	2015	Richard G. Roberts; Olav B. Lian	520438a
520441a	2015	Ivan Favero	520441a
520442a	2015	Jérôme Lavé	520442a
520443a	2015		520443a
520445a	2015	Katherine E. Yutzey	520445a
520446a	2015	Helen M. Alexander	520446a
520627a	2015	Anna Bakardjiev	520627a
520630a	2015	Tas van Ommen	520630a
520631a	2015	Tobin J. Marks; Mark C. Hersam	520631a
520631b	2015		520631b
521034a	2015	Ole Seehausen	521034a
521037a	2015	Robert Legenstein	521037a
521039a	2015		521039a
521041a	2015	Vijay S. Vyas; Bettina V. Lotsch	521041a
521164a	2015	Andrea Cattaneo	521164a
521165a	2015	Thomas R. Clandinin; Lisa M. Giocomo	521165a
521166a	2015	Mathieu Kociak	521166a
521168a	2015	Paul O'Maille	521168a
521170a	2015	Anna Roth; Sven Diederichs	521170a
521294a	2015	Erella Hovers	521294a
521295a	2015	Tracy Northup	521295a
521296a	2015	Anu Suomalainen	521296a
521298a	2015	Richard D. James	521298a
521299a	2015	Kyle M. Loh; Bing Lim	521299a
521426a	2015	Christoph Adami	521426a
521428a	2015	Sergey K. Gulev; Mojib Latif	521428a
521430a	2015	Erwin F. Wagner; Michele Petruzzelli	521430a
521432a	2015	Fred Spoor	521432a
522040a	2015	Scott J. Kenyon	522040a
522158a	2015	Wai-Hong Tham; Alexander T. Kennedy	522158a
522160a	2015	Guy Bartal	522160a
522163a	2015	Katharina Billups	522163a
522164a	2015	John Novembre	522164a
522290a	2015	Gregory Laughlin	522290a
522294a	2015	Alex Dranovsky; E. David Leonardo	522294a
522295a	2015	Fortunat Joos	522295a
522297a	2015	Gernot Frenking	522297a
522422a	2015	Veronique Buat	522422a
522425a	2015	Theodore G. Shepherd	522425a
522427a	2015		522427a
522428a	2015	Connie Cepko; Claudio Punzo	522428a
523039a	2015	Norm C. Anheier	523039a
523040a	2015	Theresa M. Marteau; Eleni Mantzari	523040a
523042a	2015	Paul Weissman	523042a
523043a	2015	James J. Bull	523043a
523044a	2015	Vilaiwan M. Fernandes; Claude Desplan	523044a
523160a	2015	Kazuhiro Misumi	523160a
523163a	2015	Joseph A. Tobias	523163a
523164a	2015		523164a
523164b	2015	Stephen J. Smartt	523164b
523293a	2015	Christy Till	523293a
523294a	2015	Miriam Merad; Hélène Salmon	523294a
523296a	2015	Pascale Ehrenfreund; Bernard Foing	523296a
523412a	2015	Tim Liedl	523412a
523416a	2015	Laura Waller; Lei Tian	523416a
523417a	2015	Fedor Romanov-Michailidis; Tomislav Rovis	523417a
523535a	2015	Krista S. Walton	523535a
523536a	2015	Harry J. Ploehn	523536a
523541a	2015	Peter Hommelhoff; Takuya Higuchi	523541a
524038a	2015	István A. Kovács; Albert-László Barabási	524038a
524039a	2015	Omid Veiseh; Robert Langer	524039a
524042a	2015	Karthik V. Raman; Jagadeesh S. Moodera	524042a
524044a	2015	Almut Arneth	524044a
524164a	2015	Marcus E. Farmer; Phil S. Baran	524164a
524168a	2015	Klaus P. Jungmann	524168a
524170a	2015	Morris F. White	524170a
524295a	2015	Leslie Goo; Theodore C. Pierson	524295a
524299a	2015		524299a
524301a	2015	John Bally	524301a
524418a	2015	Daniel Vanmaekelbergh	524418a
524422a	2015	Philippe Piot	524422a
524424a	2015	Linda Young	524424a
525037a	2015	M. Cristina Marchetti	525037a
525039a	2015		525039a
525043a	2015	Gabriel Bowen	525043a
525191a	2015	Anant K. Menon; Tim P. Levine	525191a
525192a	2015		525192a
525193a	2015	Mathias Jucker; Lary C. Walker	525193a
525194a	2015	Lynn M. Russell	525194a
525195a	2015	Adam Leroy	525195a
525325a	2015	John Meurig Thomas	525325a
525329a	2015	Erica W. Carlson	525329a
525330a	2015	Michael Jerrett	525330a
525460a	2015	Jaime Palter	525460a
525462a	2015	Robert W. Boyd	525462a
525463a	2015		525463a
525464a	2015	Aneil F. Agrawal	525464a
525465a	2015	Romeel Davé	525465a
526046a	2015	Bethan James	526046a
526050a	2015		526050a
526050b	2015	Ype Elgersma	526050b
526051a	2015	Katsuhiro Tomioka	526051a
526052a	2015	Ewan Birney; Nicole Soranzo	526052a
526198a	2015	Janet Hemingway	526198a
526199a	2015	Jonathan D. Rubin; Dylan J. Taatjes	526199a
526203a	2015	Karyn Le Hur	526203a
526204a	2015	Marshall D. Perrin	526204a
526326a	2015	Kamran Khodakhah	526326a
526327a	2015	Alexander Robel	526327a
526328a	2015	Shai Bel; Lora V. Hooper	526328a
526330a	2015	Alexandra Gade	526330a
526331a	2015	Stuart R. Cobb	526331a
526332a	2015	Davide Mandelli; Erio Tosatti	526332a
526333a	2015	Simon Gächter	526333a
526508a	2015	Michael D. Graham	526508a
526509a	2015	Nicola Harris	526509a
526510a	2015	Natalya Gomez	526510a
526511a	2015		526511a
526513a	2015	Michael Wagner	526513a
526515a	2015	Marian Turner	526515a
526515b	2015	Francesca Faedi	526515b
526643a	2015	Toni Eichelkraut; Alexander Szameit	526643a
526644a	2015	Diane C. Bassham	526644a
526646a	2015	Jennifer R. Gardiner	526646a
526646b	2015	Heather Maynard	526646b
526649a	2015		526649a
527040a	2015	Benjamin L. Bodirsky; Alexander Popp	527040a
527041a	2015	Doris Vollmer; Hans-Jürgen Butt	527041a
527043a	2015	Johan Ruud; Jens C. Brüning	527043a
527045a	2015	Dave Kielpinski	527045a
527169a	2015	Drake Deming	527169a
527172a	2015	Robert Duncan	527172a
527174a	2015	Michael Mastalerz	527174a
527175a	2015		527175a
527176a	2015	Derk-Jan Dijk; Anne C. Skeldon	527176a
527308a	2015	Peter Fratzl	527308a
527310a	2015	Zhaohuan Zhu	527310a
527314a	2015	Randolph J. Nudo	527314a
527315a	2015	Anja Rammig; Miguel D. Mahecha	527315a
527315b	2015		527315b
527451a	2015	Ben Cox; Paul Beard	527451a
527453a	2015	Jonathan L. Heeney	527453a
527455a	2015	Robin Canup	527455a
527455b	2015		527455b
527456a	2015	Andrew D. Huberman; Rana N. El-Danaf	527456a
528042a	2015	Sofia Quaglioni	528042a
528046a	2015	Forest Rohwer; Anca M. Segall	528046a
528047a	2015		528047a
528048a	2015	Steven Rolston	528048a
528196a	2015	Cayetano Gonzalez	528196a
528197a	2015	Roger Gläser	528197a
