file_id	year	authors	journo_file_id
534139a	2016	Mark Wolverton	534139a
the-manuscript-editing-marketplace-1.19457	2016	Jeffrey M. Perkel	531127a
kudos-promises-to-help-scientists-promote-their-papers-to-new-audiences-1.20346	2016	Jeffrey Perkel	536113a
web-widget-nudges-scientists-to-share-their-data-1.19542	2016	Dalmeet Singh Chawla	nature.2016.19542
computers-on-the-reef-1.20497	2016	Jeff Tollefson	537123a
robots-record-brain-activity-inside-neurons-1.19675	2016	Helen Shen	532135a
the-struggle-with-image-glut-1.19834	2016	Jeffrey M. Perkel	533131a
the-visualizations-transforming-biology-1.20201	2016	Ewen Callaway	535187a
democratic-databases-science-on-github-1.20719	2016	Jeffrey Perkel	538127a
mining-the-secrets-of-college-syllabuses-1.20905	2016	Anna Nowogrodzki	539125a
stat-checking-software-stirs-up-psychology-1.21049	2016	Monya Baker	540151a
open-journals-that-piggyback-on-arxiv-gather-momentum-1.19102	2016	Elizabeth Gibney	nature.2015.19102
the-unsung-heroes-of-scientific-software-1.19100	2016	Dalmeet Singh Chawla	529115a
web-tool-aims-to-reduce-flaws-in-animal-studies-1.19459	2016	Daniel Cressey	531128a
matchmaker-matchmaker-find-me-a-grant-1.21191	2016	Kendall Powell	nature.2016.21191
