file_id	year	authors	journo_file_id
463977a	2010	Monya Baker	463977a
463979a	2010		463979a
463981a	2010		463981a
4641225a	2010	Monya Baker	4641225a
4641225b	2010		4641225b
4641227a	2010		4641227a
4641229a	2010		4641229a
465823a	2010	Monya Baker	465823a
465824a	2010		465824a
465827a	2010		465827a
4661137a	2010	Monya Baker	4661137a
4661138a	2010		4661138a
4661139a	2010		4661139a
4661141a	2010		4661141a
4671135a	2010	Monya Baker	4671135a
4671136a	2010		4671136a
4671138a	2010		4671138a
4671139a	2010		4671139a
468851a	2010	Laura Bonetta	468851a
468852a	2010		468852a
468854a	2010		468854a
468855a	2010		468855a
