file_id	year	authors	journo_file_id
nj7477-559a	2013	Alison Abbott	nj7477-559a
cloudy-skies-on-nearby-super-earth-1.14450	2013	Alexandra Witze	nature.2013.14450
scientists-call-for-urgent-talks-on-mutant-flu-research-in-europe-1.14429	2013	Heidi Ledford	nature.2013.14429
best-features-of-2013-1.14369	2013		nature.2013.14369
distant-planet-weighed-using-clues-from-starlight-1.14421	2013	Alexandra Witze	nature.2013.14421
scientists-losing-data-at-a-rapid-rate-1.14416	2013	Elizabeth Gibney; Richard Van Noorden	nature.2013.14416
non-invasive-method-devised-to-sequence-dna-of-human-eggs-1.14412	2013	Erika Check Hayden	nature.2013.14412
NA	2013	Ewen Callaway	nature.2013.14426
cell-suicide-blocker-holds-promise-as-hiv-therapy-1.14422	2013	Heidi Ledford	nature.2013.14422
zapping-the-brain-can-help-to-spot-clean-nasty-memories-1.14431	2013	Helen Shen	nature.2013.14431
fungus-discovery-offers-pine-wilt-hope-1.14449	2013	Jane  Qiu	nature.2013.14449
feathers-were-the-exception-rather-than-the-rule-for-dinosaurs-1.14379	2013	Matt Kaplan	nature.2013.14379
first-possible-exomoon-spotted-1.14430	2013	Alexandra Witze	nature.2013.14430
charismatic-mammals-can-help-guide-conservation-1.14396	2013	Emma Marris	nature.2013.14396
triple-threat-method-sparks-hope-for-fusion-1.14445	2013	W Wayt Gibbs	505009a
uk-bolsters-defences-against-crippling-solar-storms-1.14432	2013	Elizabeth Gibney	nature.2013.14432
europe-waters-down-transnational-research-buddy-plan-1.14406	2013	Lucas Laursen	nature.2013.14406
books-arts-of-2013-1.14344	2013		nature.2013.14344
what-to-expect-in-2014-1.14448	2013	Richard Van Noorden	505013a
x-ray-source-left-without-home-1.14447	2013	Eugenie Samuel Reich	505011a
water-risk-as-world-warms-1.14446	2013	Quirin Schiermeier	505010a
comment-pieces-of-2013-1.14345	2013		nature.2013.14345
caribou-genetics-reveal-shadow-of-climate-change-1.14376	2013	Hannah Hoag	nature.2013.14376
NA	2013		nature.2013.14330
brain-changes-precede-schizophrenia-and-autism-1.14415	2013	Amanda  Mascarelli	nature.2013.14415
quandary-over-soviet-croplands-1.14388	2013	Quirin Schiermeier	504342a
narcolepsy-confirmed-as-autoimmune-disease-1.14413	2013	Ed Yong	nature.2013.14413
scientists-search-for-clues-in-sea-star-die-off-1.14370	2013	Danielle Venton	nature.2013.14370
australian-shark-cull-plan-draws-scientists-ire-1.14373	2013	Daniel Cressey	nature.2013.14373
china-lands-rover-on-moon-1.14377	2013	David Cyranoski	nature.2013.14377
seabed-scars-raise-questions-over-carbon-storage-plan-1.14386	2013	Richard Monastersky	504339a
polynesian-people-used-binary-numbers-600-years-ago-1.14380	2013	Philip Ball	nature.2013.14380
news-readers-choice-of-2013-1.14346	2013		nature.2013.14346
charitable-grants-found-lacking-1.14389	2013	Sara Reardon	504343a
newsblog-readers-choice-of-2013-1.14371	2013		nature.2013.14371
eu-fishing-vote-foments-anger-1.14387	2013	Daniel Cressey	504341a
365-days-2013-in-review-1.14366	2013	Richard Van Noorden; Jeff Tollefson; Erika Check Hayden; Lauren Morello; Helen Shen; Declan Butler; Heidi Ledford; Alexandra Witze; Eugenie Samuel Reich; Quirin Schiermeier; David Cyranoski	504344a
hubble-spots-water-spurting-from-europa-1.14357	2013	Alexandra Witze	nature.2013.14357
cosmologists-at-odds-over-mysterious-anomalies-in-data-from-early-universe-1.14368	2013	Ron Cowen	nature.2013.14368
365-days-images-of-the-year-1.14303	2013	Daniel Cressey	504350a
resistance-gene-identified-in-malaria-parasite-1.14404	2013	Ewen Callaway	nature.2013.14404
hormone-used-for-doping-is-made-from-scratch-1.14363	2013	Brendan Borrell	nature.2013.14363
life-possible-in-the-early-universe-1.14341	2013	Zeeya Merali	504201a
simulations-back-up-theory-that-universe-is-a-hologram-1.14328	2013	Ron Cowen	nature.2013.14328
report-slams-university-s-animal-research-1.14329	2013	Daniel Cressey	nature.2013.14329
diabetes-drugs-ride-a-bumpy-road-1.14338	2013	Heidi Ledford	504198a
food-fuelled-with-fungi-1.14339	2013	Nicola Jones	504199a
earth-is-only-just-within-the-sun-s-habitable-zone-1.14353	2013	Sid Perkins	nature.2013.14353
NA	2013	Ewen Callaway	nature.2013.14355
fungus-threatens-top-banana-1.14336	2013	Declan Butler	504195a
nih-to-experiment-with-high-risk-grants-1.14348	2013	Sara Reardon	nature.2013.14348
mercury-shrinking-more-than-thought-1.14331	2013	Alexandra Witze	nature.2013.14331
india-faces-uphill-battle-on-biodiversity-1.14340	2013	T V Padma	504200a
NA	2013	Virginia Gewin	nature.2013.14322
hopes-raised-for-simplification-of-cancer-research-1.14318	2013	Erika Check Hayden	nature.2013.14318
why-fruitflies-know-their-beer-1.14327	2013	Brian Owens	nature.2013.14327
us-budget-deal-would-ease-science-agencies-pain-1.14356	2013	Lauren Morello	nature.2013.14356
water-seems-to-flow-freely-on-mars-1.14343	2013	Maggie  McKee	nature.2013.14343
medics-should-plan-ahead-for-incidental-findings-1.14362	2013	Erika Check Hayden	nature.2013.14362
florida-forecasts-sinkhole-burden-1.14337	2013	Alexandra Witze	504196a
twitter-buzz-about-papers-does-not-mean-citations-later-1.14354	2013	Richard Van Noorden	nature.2013.14354
hopes-of-hiv-cure-in-boston-patients-dashed-1.14324	2013	Erika Check Hayden	nature.2013.14324
dyslexia-linked-to-brain-communication-breakdown-1.14301	2013	Helen Shen	nature.2013.14301
overhaul-recommended-for-gene-therapy-review-1.14313	2013	Erika Check Hayden	nature.2013.14313
hominin-dna-baffles-experts-1.14294	2013	Ewen Callaway	504016a
image-search-triggers-italian-police-probe-1.14295	2013	Alison Abbott	504018a
italian-court-rules-science-advisers-unlawful-1.14307	2013	Alison Abbott	nature.2013.14307
birds-might-bluff-about-intent-to-attack-1.14298	2013	Philip Ball	nature.2013.14298
