file_id	year	authors	journo_file_id
541032a	2017	Heino Falcke	541032a
541036a	2017	Alexander V. Ruban	541036a
541037a	2017	Francisco Zaera	541037a
541037b	2017		541037b
541161a	2017	Björn Hof	541161a
541164a	2017	Mikhail Rybin; Yuri Kivshar	541164a
541167a	2017	Mark B. Bush	541167a
541292a	2017	Marco Bellini	541292a
541296a	2017	Jamie Paik	541296a
541300a	2017		541300a
541467a	2017	Stefan Ulmer	541467a
541468a	2017	Richard W. Carlson	541468a
541469a	2017		541469a
542035a	2017	Michael Farle	542035a
542038a	2017		542038a
542038b	2017	Lola Fatoyinbo	542038b
542041a	2017	Hugh Sinclair	542041a
542169a	2017	Sara E. Mikaloff Fletcher	542169a
542172a	2017	Xiangdong Ji	542172a
542175a	2017	Kayhan Gültekin	542175a
542298a	2017	Andreas Vieli	542298a
542303a	2017	Denis Gilbert	542303a
542419a	2017	Didier Paillard	542419a
542420a	2017	William T. Yewdell; Jayanta Chaudhuri	542420a
542421a	2017	Ignas A. G. Snellen	542421a
542422a	2017		542422a
543042a	2017	Horacio D. Espinosa; Rafael Soler-Crespo	543042a
543044a	2017	Kip V. Hodges	543044a
543047a	2017	Kaden R. A. Hazzard	543047a
543183a	2017	Karen Adelman; Emily Egan	543183a
543185a	2017	Chetan Nayak	543185a
543187a	2017		543187a
543188a	2017	Michael J. Harrower; Ioana A. Dumitru	543188a
543189a	2017	Roberta Sessoli	543189a
543318a	2017	Mark Swinbank	543318a
543321a	2017		543321a
543322a	2017	Xin Zhang	543322a
543323a	2017	Anna Armstrong	543323a
543325a	2017	Ryan Wilkinson	543325a
543494a	2017	Kevin Padian	543494a
543495a	2017	Michael Strong; Rebecca M. Davidson	543495a
543497a	2017	Christian Colliex	543497a
543626a	2017	Florian R. Greten	543626a
543627a	2017	Felix N. Castellano	543627a
543628a	2017	Paul W. Sternberg	543628a
543631a	2017	Jon W. Rueckemann; Elizabeth A. Buffalo	543631a
543633a	2017	Maite M. Aldaya	543633a
543634a	2017	Julie-Aurore Losman	543634a
543635a	2017	Helena Morais; Fathi Namouni	543635a
544038a	2017	Phillip S. Barbeau	544038a
544039a	2017	Dan Yakir	544039a
544043a	2017		544043a
544164a	2017	Linda S. Hirst; Guillaume Charras	544164a
544169a	2017		544169a
544170a	2017	Leah Edelstein-Keshet	544170a
544171a	2017	Robert M. Plenge	544171a
544300a	2017	Matthew C. Fisher	544300a
544301a	2017	Minjoo Larry Lee	544301a
544305a	2017	Karl Ziemelis	544305a
544306a	2017	Alison Banwell	544306a
544307a	2017		544307a
544420a	2017	Erella Hovers	544420a
544422a	2017	Chuntao Liu	544422a
544423a	2017	Charles H. Camp Jr; Marcus T. Cicerone	544423a
544424a	2017	Beat Keller; Simon G. Krattinger	544424a
545032a	2017	Jared Diamond	545032a
545035a	2017	Matthew Gaunt; Patrick Williamson	545035a
545037a	2017	James S. Risbey; Stephan Lewandowsky	545037a
545039a	2017	J. Gray Camp; Barbara Treutlein	545039a
545039b	2017		545039b
545161a	2017	Tobias Bolch	545161a
545164a	2017	Wes Campbell	545164a
545166a	2017	Carolyn Penstein Rosé	545166a
545293a	2017	Ian B. Spielman	545293a
545295a	2017		545295a
545296a	2017	Piers Forster	545296a
545297a	2017	Simon Gächter	545297a
545414a	2017	Thierry Giamarchi	545414a
545417a	2017	Alberto Bardelli	545417a
545418a	2017	Rychard Bouwens	545418a
545419a	2017		545419a
545421a	2017	Peter Byass	545421a
546040a	2017	Shriram Ramanathan	546040a
546041a	2017	Michaela I. Hegglin	546041a
546042a	2017		546042a
546043a	2017	Orli G. Bahcall	546043a
546044a	2017	David G. Russell	546044a
546045a	2017	Claire T. Roberts	546045a
546212a	2017	Chris Stringer; Julia Galway-Witham	546212a
546214a	2017	Victor Torres-Company	546214a
546216a	2017	Nitin Samarth	546216a
546217a	2017		546217a
546354a	2017	Geoffroy Lerosey	546354a
546356a	2017		546356a
546358a	2017	Jonathan J. Wilker	546358a
546360a	2017	Teri A. Manolio	546360a
546478a	2017		546478a
546480a	2017	Luíseach Nic Eoin	546480a
546481a	2017	Lindsay J. LeBlanc	546481a
546483a	2017	Bjorn Stevens	546483a
546602a	2017	Roberto Osellame	546602a
546604a	2017	Yanlei Yu	546604a
546606a	2017		546606a
546608a	2017	Claire Vallance	546608a
546609a	2017	Ayuko Hoshino; David Lyden	546609a
547034a	2017	Robert A. Beagrie; Ana Pombo	547034a
547035a	2017	Jennifer Hertzberg	547035a
547038a	2017	Sherief Reda	547038a
547039a	2017		547039a
547164a	2017	Christopher G. Baker; Warwick P. Bowen	547164a
547167a	2017	William Shotyk	547167a
547169a	2017		547169a
547171a	2017	Ludi Zhang; Lijian Hui	547171a
547284a	2017	Ilya Mandel; Alison Farmer	547284a
547285a	2017	Curtis W. Marean	547285a
547286a	2017		547286a
547287a	2017	Gregory A. Fiete	547287a
547290a	2017	Peter Fischer	547290a
547407a	2017	Frank Hoppensteadt	547407a
547410a	2017	Severin K. Thompson; Thomas R. Hoye	547410a
547411a	2017	Jaime Sepúlveda	547411a
548034a	2017	Hannah Petersen	548034a
548038a	2017	Anna Armstrong	548038a
548038b	2017	Kevin Heng	548038b
548039a	2017		548039a
548160a	2017	Brenda R. Benefit	548160a
548161a	2017	Mikael C. Rechtsman	548161a
548162a	2017	George S. Vassiliou; Shankar Balasubramanian	548162a
548164a	2017	Sonia I. Seneviratne; Philippe Ciais	548164a
548288a	2017	Gail H. Schaefer	548288a
548396a	2017	Laura E. Clarke; Shane A. Liddelow	548396a
548397a	2017	Steinn Sigurðsson	548397a
548400a	2017	Roberta Sessoli	548400a
548403a	2017	Peter Hopcroft	548403a
548526a	2017	Steven N. Shore	548526a
548531a	2017	Katrin J. Meissner; Timothy J. Bralower	548531a
548534a	2017	Mohamed Lamkanfi; Vishva M. Dixit	548534a
549034a	2017	Christian Dette; Shannon W. Boettcher	549034a
549037a	2017	Matthew T. McDowell	549037a
549038a	2017	Phillip D. Zamore	549038a
549041a	2017	Eleni Diamanti	549041a
549041b	2017		549041b
549162a	2017	Marcel M. M. Kuypers	549162a
549163a	2017	Stefan Rotter	549163a
549166a	2017	J. Graham Cogley	549166a
549167a	2017	Michael Coates	549167a
549169a	2017	Stephen R. Boona	549169a
549169b	2017		549169b
549336a	2017	T. Ross Kelly; Marc L. Snapper	549336a
549339a	2017	Byungju Lee; Kisuk Kang	549339a
549342a	2017	Iain Todd	549342a
549461a	2017	Edward D. Young	549461a
549464a	2017	Zhi-Xun Shen; Jonathan Sobota	549464a
549465a	2017	Catriona Jamieson	549465a
550047a	2017	John A. Rowlands	550047a
550050a	2017	Matthijs Langelaar	550050a
550051a	2017		550051a
550190a	2017	Michelle C. Ward; Yoav Gilad	550190a
550194a	2017		550194a
550194b	2017	Konstantina Lambrinou	550194b
550197a	2017	Amanda A. Sickafoose	550197a
550336a	2017	Satinder Singh; Andy Okun; Andrew Jackson	550336a
550337a	2017	Christian Jobin	550337a
550339a	2017	Steven Schramm	550339a
550339b	2017		550339b
550461a	2017	Neil K. Bourne	550461a
550464a	2017	Jennifer R. Gardiner	550464a
550465a	2017	David Alsteens; Yves F. Dufrêne	550465a
550466a	2017	Ronald G. Larson	550466a
550467a	2017		550467a
551037a	2017	Mark W. Ruszczycky; Hung-wen Liu	551037a
551040a	2017	Gerald A. Miller	551040a
