file_id	year	authors	journo_file_id
d41586-019-03772-1	2020	Hepeng Jia	d41586-019-03772-1
d41586-019-03919-0	2020	Heidi Ledford	d41586-019-03919-0
d41586-020-00001-y	2020	David Cyranoski	d41586-020-00001-y
d41586-020-00008-5	2020	Philip Ball	d41586-020-00008-5
d41586-020-00012-9	2020	Elizabeth Gibney	d41586-020-00012-9
d41586-020-00014-7	2020	Alexandra Witze	d41586-020-00014-7
d41586-020-00018-3	2020	Jo Marchant	d41586-020-00018-3
d41586-020-00020-9	2020	David Cyranoski	d41586-020-00020-9
d41586-020-00031-6	2020	Dalmeet Singh Chawla	d41586-020-00031-6
d41586-020-00041-4	2020	Alexandra Witze	d41586-020-00041-4
d41586-020-00048-x	2020	Nidhi Subbaraman	d41586-020-00048-x
d41586-020-00051-2	2020	Hepeng Jia	d41586-020-00051-2
d41586-020-00072-x	2020	Nidhi Subbaraman	d41586-020-00072-x
d41586-020-00074-9	2020	Ewen Callaway	d41586-020-00074-9
d41586-020-00076-7	2020	Alexandra Witze	d41586-020-00076-7
d41586-020-00084-7	2020	Giuliana Viglione	d41586-020-00084-7
d41586-020-00089-2	2020	Sarah Wild	d41586-020-00089-2
d41586-020-00101-9	2020	Alison Abbott	d41586-020-00101-9
d41586-020-00104-6	2020	Dalmeet Singh Chawla	d41586-020-00104-6
d41586-020-00108-2	2020	Giuliana Viglione	d41586-020-00108-2
d41586-020-00117-1	2020	Ewen Callaway	d41586-020-00117-1
d41586-020-00119-z	2020	Jeff Tollefson	d41586-020-00119-z
d41586-020-00120-6	2020	Davide Castelvecchi	d41586-020-00120-6
d41586-020-00127-z	2020	Nidhi Subbaraman	d41586-020-00127-z
d41586-020-00128-y	2020	Smriti Mallapaty	d41586-020-00128-y
d41586-020-00129-x	2020	David Cyranoski	d41586-020-00129-x
d41586-020-00130-4	2020	Dyani Lewis	d41586-020-00130-4
d41586-020-00141-1	2020	Heidi Ledford	d41586-020-00141-1
d41586-020-00146-w	2020	Nicky Phillips; Smriti Mallapaty; David Cyranoski	d41586-020-00146-w
d41586-020-00154-w	2020		d41586-020-00154-w
d41586-020-00160-y	2020	Elizabeth Gibney	d41586-020-00160-y
d41586-020-00164-8	2020	John Pickrell	d41586-020-00164-8
d41586-020-00166-6	2020	Ewen Callaway; David Cyranoski	d41586-020-00166-6
d41586-020-00167-5	2020	Ewen Callaway	d41586-020-00167-5
d41586-020-00175-5	2020	Giuliana Viglione	d41586-020-00175-5
d41586-020-00180-8	2020	Ewen Callaway; David Cyranoski	d41586-020-00180-8
d41586-020-00191-5	2020	David Cyranoski; Andrew Silver	d41586-020-00191-5
d41586-020-00210-5	2020	Nidhi Subbaraman	d41586-020-00210-5
d41586-020-00215-0	2020	Elizabeth Gibney	d41586-020-00215-0
d41586-020-00224-z	2020	Alexandra Witze	d41586-020-00224-z
d41586-020-00235-w	2020	Emiliano Rodríguez Mega	d41586-020-00235-w
d41586-020-00245-8	2020	Emma Stoye	d41586-020-00245-8
d41586-020-00253-8	2020	Emma Stoye	d41586-020-00253-8
d41586-020-00255-6	2020	Alison Abbott	d41586-020-00255-6
d41586-020-00262-7	2020	Ewen Callaway	d41586-020-00262-7
d41586-020-00287-y	2020	Giuliana Viglione	d41586-020-00287-y
d41586-020-00288-x	2020	T. V. Padma	d41586-020-00288-x
d41586-020-00291-2	2020	Nidhi Subbaraman	d41586-020-00291-2
d41586-020-00335-7	2020	Richard Van Noorden	d41586-020-00335-7
d41586-020-00340-w	2020	Heidi Ledford	d41586-020-00340-w
d41586-020-00341-9	2020	Ewen Callaway	d41586-020-00341-9
d41586-020-00348-2	2020	Alexandra Witze; Nidhi Subbaraman; Giuliana Viglione; Jeff Tollefson	d41586-020-00348-2
d41586-020-00352-6	2020	Alison Abbott	d41586-020-00352-6
d41586-020-00361-5	2020	David Cyranoski	d41586-020-00361-5
d41586-020-00362-4	2020	Smriti Mallapaty	d41586-020-00362-4
d41586-020-00363-3	2020	Smriti Mallapaty	d41586-020-00363-3
d41586-020-00364-2	2020	David Cyranoski	d41586-020-00364-2
d41586-020-00365-1	2020	Jonathan O'Callaghan	d41586-020-00365-1
d41586-020-00405-w	2020	Smriti Mallapaty	d41586-020-00405-w
d41586-020-00419-4	2020	Alexandra Witze	d41586-020-00419-4
d41586-020-00425-6	2020	Nisha Gaind; Jonathan O'Callaghan	d41586-020-00425-6
d41586-020-00434-5	2020	David Cyranoski	d41586-020-00434-5
d41586-020-00444-3	2020	Amy Maxmen	d41586-020-00444-3
d41586-020-00465-y	2020	Jo Marchant	d41586-020-00465-y
d41586-020-00478-7	2020	Emma Stoye	d41586-020-00478-7
d41586-020-00489-4	2020	Giuliana Viglione	d41586-020-00489-4
d41586-020-00490-x	2020	Alison Abbott	d41586-020-00490-x
d41586-020-00491-w	2020	Amy Maxmen	d41586-020-00491-w
d41586-020-00497-4	2020	Jeff Tollefson	d41586-020-00497-4
d41586-020-00498-3	2020	Shreya Dasgupta	d41586-020-00498-3
d41586-020-00499-2	2020	Smriti Mallapaty	d41586-020-00499-2
d41586-020-00501-x	2020	Ewen Callaway	d41586-020-00501-x
d41586-020-00520-8	2020	Jeff Tollefson	d41586-020-00520-8
d41586-020-00548-w	2020	David Cyranoski	d41586-020-00548-w
d41586-020-00551-1	2020	Ewen Callaway	d41586-020-00551-1
d41586-020-00561-z	2020	Davide Castelvecchi	d41586-020-00561-z
d41586-020-00574-8	2020	Smriti Mallapaty	d41586-020-00574-8
d41586-020-00609-0	2020	Davide Castelvecchi	d41586-020-00609-0
d41586-020-00619-y	2020	Elizabeth Gibney	d41586-020-00619-y
d41586-020-00627-y	2020	Nicky Phillips	d41586-020-00627-y
d41586-020-00639-8	2020	Emma Stoye	d41586-020-00639-8
d41586-020-00646-9	2020	Nidhi Subbaraman	d41586-020-00646-9
d41586-020-00647-8	2020	Quirin Schiermeier	d41586-020-00647-8
d41586-020-00655-8	2020	Heidi Ledford	d41586-020-00655-8
d41586-020-00660-x	2020	Smriti Mallapaty	d41586-020-00660-x
d41586-020-00668-3	2020	Giuliana Viglione	d41586-020-00668-3
d41586-020-00676-3	2020	Amy Maxmen	d41586-020-00676-3
d41586-020-00685-2	2020	Alexandra Witze	d41586-020-00685-2
d41586-020-00697-y	2020	Monique Brouillette	d41586-020-00697-y
d41586-020-00698-x	2020	Ewen Callaway	d41586-020-00698-x
d41586-020-00709-x	2020	Richard Van Noorden	d41586-020-00709-x
d41586-020-00724-y	2020	Giuliana Viglione	d41586-020-00724-y
d41586-020-00725-x	2020	Antoaneta Roussi	d41586-020-00725-x
d41586-020-00739-5	2020	Smriti Mallapaty	d41586-020-00739-5
d41586-020-00740-y	2020	Mark Zastrow	d41586-020-00740-y
d41586-020-00742-w	2020	Smriti Mallapaty	d41586-020-00742-w
d41586-020-00743-9	2020	Jeff Tollefson	d41586-020-00743-9
d41586-020-00746-6	2020	Jonathan O'Callaghan	d41586-020-00746-6
d41586-020-00758-2	2020	Ewen Callaway; David Cyranoski; Smriti Mallapaty; Emma Stoye; Jeff Tollefson	d41586-020-00758-2
d41586-020-00786-y	2020	Giuliana Viglione	d41586-020-00786-y
d41586-020-00799-7	2020	Davide Castelvecchi	d41586-020-00799-7
d41586-020-00822-x	2020	Jane Qiu	d41586-020-00822-x
d41586-020-00823-w	2020	Amy Maxmen	d41586-020-00823-w
d41586-020-00868-x	2020	Alexandra Witze	d41586-020-00868-x
d41586-020-00885-w	2020	Smriti Mallapaty	d41586-020-00885-w
d41586-020-00886-9	2020	John Pickrell	d41586-020-00886-9
d41586-020-00889-6	2020	Heidi Ledford	d41586-020-00889-6
d41586-020-00895-8	2020	Amy Maxmen	d41586-020-00895-8
d41586-020-00904-w	2020	Alexandra Witze	d41586-020-00904-w
d41586-020-00905-9	2020	Giuliana Viglione	d41586-020-00905-9
d41586-020-00924-6	2020	Giuliana Viglione	d41586-020-00924-6
d41586-020-00937-1	2020	Alexandra Witze	d41586-020-00937-1
d41586-020-00938-0	2020	David Cyranoski	d41586-020-00938-0
d41586-020-00941-5	2020	Jeff Tollefson	d41586-020-00941-5
d41586-020-00943-3	2020	Davide Castelvecchi	d41586-020-00943-3
d41586-020-00964-y	2020	Anna Nowogrodzki	d41586-020-00964-y
d41586-020-00965-x	2020	Elizabeth Gibney	d41586-020-00965-x
d41586-020-00973-x	2020	Smriti Mallapaty	d41586-020-00973-x
d41586-020-00974-w	2020	Dyani Lewis	d41586-020-00974-w
d41586-020-00983-9	2020	Amy Maxmen	d41586-020-00983-9
d41586-020-00984-8	2020	Smriti Mallapaty	d41586-020-00984-8
d41586-020-00998-2	2020	Davide Castelvecchi	d41586-020-00998-2
d41586-020-01002-7	2020	Alison Abbott	d41586-020-01002-7
d41586-020-01008-1	2020	Nidhi Subbaraman	d41586-020-01008-1
d41586-020-01010-7	2020	Antoaneta Roussi; Amy Maxmen	d41586-020-01010-7
d41586-020-01048-7	2020	Emma Stoye	d41586-020-01048-7
d41586-020-01049-6	2020	Quirin Schiermeier	d41586-020-01049-6
d41586-020-01056-7	2020	Heidi Ledford	d41586-020-01056-7
d41586-020-01058-5	2020	Gayathri Vaidyanathan	d41586-020-01058-5
d41586-020-01061-w	2020	Jonathan O'Callaghan	d41586-020-01061-w
d41586-020-01066-5	2020	Richard Van Noorden	d41586-020-01066-5
d41586-020-01068-3	2020	Amy Maxmen	d41586-020-01068-3
d41586-020-01075-4	2020	Alison Abbott	d41586-020-01075-4
d41586-020-01092-3	2020	Ewen Callaway	d41586-020-01092-3
d41586-020-01093-2	2020	Amy Maxmen	d41586-020-01093-2
d41586-020-01095-0	2020	Smriti Mallapaty	d41586-020-01095-0
d41586-020-01096-z	2020	Clare Watson	d41586-020-01096-z
d41586-020-01108-y	2020	Andrew Silver; David Cyranoski	d41586-020-01108-y
d41586-020-01114-0	2020	Alexandra Witze	d41586-020-01114-0
d41586-020-01115-z	2020	Smriti Mallapaty	d41586-020-01115-z
d41586-020-01120-2	2020	Emma Stoye	d41586-020-01120-2
d41586-020-01136-8	2020		d41586-020-01136-8
d41586-020-01153-7	2020	Davide Castelvecchi	d41586-020-01153-7
d41586-020-01154-6	2020	Amy Maxmen	d41586-020-01154-6
d41586-020-01163-5	2020	Amy Maxmen	d41586-020-01163-5
d41586-020-01165-3	2020	Heidi Ledford	d41586-020-01165-3
d41586-020-01179-x	2020	Ewen Callaway	d41586-020-01179-x
d41586-020-01219-6	2020	Nidhi Subbaraman	d41586-020-01219-6
d41586-020-01239-2	2020	Davide Castelvecchi	d41586-020-01239-2
d41586-020-01247-2	2020	Ewen Callaway	d41586-020-01247-2
d41586-020-01248-1	2020	Elizabeth Gibney	d41586-020-01248-1
d41586-020-01253-4	2020	Shannon Hall	d41586-020-01253-4
d41586-020-01261-4	2020	Jeff Tollefson	d41586-020-01261-4
d41586-020-01284-x	2020	David Cyranoski	d41586-020-01284-x
d41586-020-01285-w	2020	Smriti Mallapaty	d41586-020-01285-w
d41586-020-01286-9	2020	Giuliana Viglione	d41586-020-01286-9
d41586-020-01294-9	2020	Giuliana Viglione	d41586-020-01294-9
d41586-020-01295-8	2020	Heidi Ledford	d41586-020-01295-8
d41586-020-01348-y	2020	Emma Stoye	d41586-020-01348-y
d41586-020-01354-0	2020	Smriti Mallapaty	d41586-020-01354-0
d41586-020-01355-z	2020	Heidi Ledford	d41586-020-01355-z
d41586-020-01367-9	2020	Heidi Ledford	d41586-020-01367-9
d41586-020-01389-3	2020	Amy Maxmen	d41586-020-01389-3
d41586-020-01394-6	2020	Diana Kwon	d41586-020-01394-6
d41586-020-01396-4	2020	Colin Barras	d41586-020-01396-4
d41586-020-01402-9	2020	Giorgia Guglielmi	d41586-020-01402-9
d41586-020-01403-8	2020	Cassandra Willyard	d41586-020-01403-8
d41586-020-01407-4	2020	Bianca Nogrady	d41586-020-01407-4
d41586-020-01408-3	2020	Alison Abbott	d41586-020-01408-3
d41586-020-01410-9	2020	Richard Van Noorden	d41586-020-01410-9
d41586-020-01423-4	2020	Philip Ball	d41586-020-01423-4
d41586-020-01430-5	2020	Smriti Mallapaty	d41586-020-01430-5
d41586-020-01449-8	2020	Smriti Mallapaty	d41586-020-01449-8
d41586-020-01456-9	2020	Ewen Callaway	d41586-020-01456-9
d41586-020-01470-x	2020	Nidhi Subbaraman	d41586-020-01470-x
d41586-020-01496-1	2020	Linda Nordling	d41586-020-01496-1
d41586-020-01497-0	2020	Jeff Tollefson	d41586-020-01497-0
d41586-020-01499-y	2020	Nicola Jones	d41586-020-01499-y
d41586-020-01530-2	2020	Davide Castelvecchi	d41586-020-01530-2
d41586-020-01538-8	2020	Nicola Jones	d41586-020-01538-8
d41586-020-01541-z	2020	David Cyranoski	d41586-020-01541-z
d41586-020-01543-x	2020	Amy Maxmen	d41586-020-01543-x
d41586-020-01553-9	2020	Diana Kwon	d41586-020-01553-9
d41586-020-01554-8	2020	Alexandra Witze	d41586-020-01554-8
d41586-020-01556-6	2020	Emma Stoye	d41586-020-01556-6
d41586-020-01573-5	2020	Clare Watson	d41586-020-01573-5
d41586-020-01574-4	2020	Smriti Mallapaty	d41586-020-01574-4
d41586-020-01586-0	2020	Amy Maxmen	d41586-020-01586-0
d41586-020-01587-z	2020	Nidhi Subbaraman	d41586-020-01587-z
d41586-020-01599-9	2020	Heidi Ledford	d41586-020-01599-9
d41586-020-01619-8	2020	Priyanka Pulla	d41586-020-01619-8
d41586-020-01643-8	2020	Alison Abbott	d41586-020-01643-8
d41586-020-01658-1	2020	Ewen Callaway	d41586-020-01658-1
d41586-020-01666-1	2020	Alexandra Witze	d41586-020-01666-1
d41586-020-01685-y	2020	Dalmeet Singh Chawla	d41586-020-01685-y
d41586-020-01692-z	2020	David Cyranoski	d41586-020-01692-z
d41586-020-01693-y	2020	Andrew Silver	d41586-020-01693-y
d41586-020-01695-w	2020	Heidi Ledford; Richard Van Noorden	d41586-020-01695-w
d41586-020-01699-6	2020	Davide Castelvecchi	d41586-020-01699-6
d41586-020-01705-x	2020	Nidhi Subbaraman	d41586-020-01705-x
d41586-020-01721-x	2020	Nidhi Subbaraman	d41586-020-01721-x
d41586-020-01738-2	2020	Smriti Mallapaty	d41586-020-01738-2
d41586-020-01756-0	2020	Emiliano Rodríguez Mega	d41586-020-01756-0
d41586-020-01757-z	2020	David Cyranoski	d41586-020-01757-z
d41586-020-01773-z	2020	Elizabeth Gibney	d41586-020-01773-z
d41586-020-01818-3	2020	Giuliana Viglione	d41586-020-01818-3
d41586-020-01824-5	2020	Heidi Ledford	d41586-020-01824-5
d41586-020-01838-z	2020	Elie Dolgin	d41586-020-01838-z
d41586-020-01864-x	2020	Smriti Mallapaty	d41586-020-01864-x
d41586-020-01865-w	2020	Priyanka Pulla	d41586-020-01865-w
d41586-020-01866-9	2020	Davide Castelvecchi; Elizabeth Gibney	d41586-020-01866-9
d41586-020-01874-9	2020	Davide Castelvecchi	d41586-020-01874-9
d41586-020-01885-6	2020	Nidhi Subbaraman; Alexandra Witze	d41586-020-01885-6
d41586-020-01891-8	2020	Smriti Mallapaty	d41586-020-01891-8
d41586-020-01905-5	2020	Alexandra Witze	d41586-020-01905-5
d41586-020-01906-4	2020	Heidi Ledford	d41586-020-01906-4
d41586-020-01908-2	2020	Davide Castelvecchi	d41586-020-01908-2
d41586-020-01921-5	2020	Nidhi Subbaraman	d41586-020-01921-5
d41586-020-01947-9	2020	Smriti Mallapaty	d41586-020-01947-9
d41586-020-01950-0	2020	Amy Maxmen	d41586-020-01950-0
d41586-020-01967-5	2020	Emma Stoye	d41586-020-01967-5
d41586-020-01984-4	2020	David Cyranoski	d41586-020-01984-4
d41586-020-01987-1	2020	Alison Abbott	d41586-020-01987-1
d41586-020-01988-0	2020	Davide Castelvecchi	d41586-020-01988-0
d41586-020-01989-z	2020	Ewen Callaway; Heidi Ledford; Smriti Mallapaty	d41586-020-01989-z
d41586-020-01990-6	2020	Emiliano Rodríguez Mega	d41586-020-01990-6
d41586-020-01993-3	2020	Carrie Arnold	d41586-020-01993-3
d41586-020-02015-y	2020	Andrew Silver	d41586-020-02015-y
d41586-020-02042-9	2020	Amy Maxmen	d41586-020-02042-9
d41586-020-02051-8	2020	Andrew Silver	d41586-020-02051-8
d41586-020-02052-7	2020	Smriti Mallapaty	d41586-020-02052-7
d41586-020-02053-6	2020	Smriti Mallapaty	d41586-020-02053-6
d41586-020-02054-5	2020	Heidi Ledford	d41586-020-02054-5
d41586-020-02055-4	2020	Ewen Callaway	d41586-020-02055-4
d41586-020-02116-8	2020	Quirin Schiermeier	d41586-020-02116-8
d41586-020-02124-8	2020	Antoaneta Roussi	d41586-020-02124-8
d41586-020-02126-6	2020	Davide Castelvecchi	d41586-020-02126-6
d41586-020-02134-6	2020	Richard Van Noorden	d41586-020-02134-6
d41586-020-02136-4	2020	Elizabeth Gibney	d41586-020-02136-4
d41586-020-02161-3	2020	Richard Van Noorden	d41586-020-02161-3
d41586-020-02170-2	2020	Elizabeth Gibney	d41586-020-02170-2
d41586-020-02173-z	2020	Amy Maxmen	d41586-020-02173-z
d41586-020-02174-y	2020	Ewen Callaway	d41586-020-02174-y
d41586-020-02187-7	2020	Smriti Mallapaty	d41586-020-02187-7
d41586-020-02188-6	2020	Dyani Lewis	d41586-020-02188-6
d41586-020-02190-y	2020	Colin Barras	d41586-020-02190-y
d41586-020-02199-3	2020	Quirin Schiermeier	d41586-020-02199-3
d41586-020-02202-x	2020	Ewen Callaway	d41586-020-02202-x
d41586-020-02214-7	2020	Giuliana Viglione	d41586-020-02214-7
d41586-020-02217-4	2020	Barbara Casassus	d41586-020-02217-4
d41586-020-02243-2	2020	Smriti Mallapaty	d41586-020-02243-2
d41586-020-02244-1	2020	David Cyranoski	d41586-020-02244-1
d41586-020-02257-w	2020	Alexandra Witze	d41586-020-02257-w
d41586-020-02272-x	2020	Giuliana Viglione	d41586-020-02272-x
d41586-020-02273-w	2020	Smriti Mallapaty	d41586-020-02273-w
d41586-020-02324-2	2020	Heidi Ledford	d41586-020-02324-2
d41586-020-02325-1	2020	Smriti Mallapaty	d41586-020-02325-1
d41586-020-02328-y	2020	Giuliana Viglione	d41586-020-02328-y
d41586-020-02341-1	2020	Jeff Tollefson	d41586-020-02341-1
d41586-020-02359-5	2020	Andrew Silver	d41586-020-02359-5
d41586-020-02360-y	2020	Heidi Ledford	d41586-020-02360-y
d41586-020-02361-x	2020	Giorgia Guglielmi	d41586-020-02361-x
d41586-020-02378-2	2020	Richard Van Noorden	d41586-020-02378-2
d41586-020-02386-2	2020	Ewen Callaway	d41586-020-02386-2
d41586-020-02393-3	2020	Giuliana Viglione; Nidhi Subbaraman	d41586-020-02393-3
d41586-020-02403-4	2020	Smriti Mallapaty	d41586-020-02403-4
d41586-020-02415-0	2020	Alison Abbott	d41586-020-02415-0
d41586-020-02433-y	2020	Jeff Tollefson	d41586-020-02433-y
d41586-020-02445-8	2020	Smriti Mallapaty	d41586-020-02445-8
d41586-020-02452-9	2020		d41586-020-02452-9
d41586-020-02466-3	2020	Giorgia Guglielmi	d41586-020-02466-3
d41586-020-02478-z	2020	Amy Maxmen	d41586-020-02478-z
d41586-020-02480-5	2020	Alexandra Witze	d41586-020-02480-5
d41586-020-02483-2	2020	Smriti Mallapaty	d41586-020-02483-2
d41586-020-02492-1	2020	Ewen Callaway	d41586-020-02492-1
d41586-020-02501-3	2020	Giorgia Guglielmi	d41586-020-02501-3
d41586-020-02507-x	2020	Gayathri Vaidyanathan	d41586-020-02507-x
d41586-020-02515-x	2020	Nidhi Subbaraman	d41586-020-02515-x
d41586-020-02523-x	2020	Dyani Lewis	d41586-020-02523-x
d41586-020-02524-w	2020	Davide Castelvecchi	d41586-020-02524-w
d41586-020-02538-4	2020	Heidi Ledford	d41586-020-02538-4
d41586-020-02557-1	2020	Emma Marris	d41586-020-02557-1
d41586-020-02568-y	2020	Alexandra Witze	d41586-020-02568-y
d41586-020-02583-z	2020	Ewen Callaway	d41586-020-02583-z
d41586-020-02586-w	2020	Zeeya Merali	d41586-020-02586-w
d41586-020-02594-w	2020	Nicky Phillips; David Cyranoski; Smriti Mallapaty	d41586-020-02594-w
d41586-020-02610-z	2020	Diana Kwon	d41586-020-02610-z
d41586-020-02618-5	2020	Clare Watson	d41586-020-02618-5
d41586-020-02619-4	2020	Alison Abbott	d41586-020-02619-4
d41586-020-02633-6	2020	David Cyranoski; Smriti Mallapaty	d41586-020-02633-6
d41586-020-02640-7	2020	Giuliana Viglione	d41586-020-02640-7
d41586-020-02669-8	2020	Dyani Lewis	d41586-020-02669-8
d41586-020-02672-z	2020	Aisling Irwin	d41586-020-02672-z
d41586-020-02684-9	2020	Nidhi Subbaraman	d41586-020-02684-9
d41586-020-02688-5	2020	Elizabeth Gibney	d41586-020-02688-5
d41586-020-02705-7	2020	Alexandra Witze	d41586-020-02705-7
d41586-020-02706-6	2020	Smriti Mallapaty; Heidi Ledford	d41586-020-02706-6
d41586-020-02708-4	2020	Smriti Mallapaty	d41586-020-02708-4
d41586-020-02710-w	2020		d41586-020-02710-w
d41586-020-02716-4	2020	Emiliano Rodríguez Mega	d41586-020-02716-4
d41586-020-02717-3	2020	Davide Castelvecchi	d41586-020-02717-3
d41586-020-02741-3	2020	Elizabeth Gibney	d41586-020-02741-3
d41586-020-02747-x	2020	Nidhi Subbaraman	d41586-020-02747-x
d41586-020-02751-1	2020	Jonathan O'Callaghan	d41586-020-02751-1
d41586-020-02762-y	2020	Emiliano Rodríguez Mega	d41586-020-02762-y
d41586-020-02763-x	2020	Ewen Callaway; Heidi Ledford	d41586-020-02763-x
d41586-020-02764-w	2020	Elizabeth Gibney; Davide Castelvecchi	d41586-020-02764-w
d41586-020-02765-9	2020	Heidi Ledford; Ewen Callaway	d41586-020-02765-9
d41586-020-02785-5	2020	Jonathan O'Callaghan	d41586-020-02785-5
d41586-020-02786-4	2020	Amy Maxmen; Nidhi Subbaraman; Jeff Tollefson; Giuliana Viglione; Alexandra Witze	d41586-020-02786-4
d41586-020-02793-5	2020	Holly Else	d41586-020-02793-5
d41586-020-02807-2	2020	David Cyranoski	d41586-020-02807-2
d41586-020-02815-2	2020	Quirin Schiermeier; Holly Else; Emiliano Rodríguez Mega; T.V. Padma; Nisha Gaind	d41586-020-02815-2
d41586-020-02821-4	2020	Ewen Callaway	d41586-020-02821-4
d41586-020-02835-y	2020	Smriti Mallapaty	d41586-020-02835-y
d41586-020-02846-9	2020	Nidhi Subbaraman	d41586-020-02846-9
d41586-020-02851-y	2020	Quirin Schiermeier	d41586-020-02851-y
d41586-020-02895-0	2020	Davide Castelvecchi	d41586-020-02895-0
d41586-020-02904-2	2020	Philip Ball	d41586-020-02904-2
d41586-020-02910-4	2020	Alexandra Witze	d41586-020-02910-4
d41586-020-02927-9	2020	Smriti Mallapaty	d41586-020-02927-9
d41586-020-02932-y	2020	Heidi Ledford	d41586-020-02932-y
d41586-020-02958-2	2020	Emiliano Rodríguez Mega	d41586-020-02958-2
d41586-020-02959-1	2020	Richard Van Noorden	d41586-020-02959-1
d41586-020-02963-5	2020	Giuliana Viglione	d41586-020-02963-5
d41586-020-02965-3	2020	Heidi Ledford	d41586-020-02965-3
d41586-020-02972-4	2020	Smriti Mallapaty	d41586-020-02972-4
d41586-020-02973-3	2020	Dyani Lewis	d41586-020-02973-3
d41586-020-02976-0	2020	Davide Castelvecchi	d41586-020-02976-0
d41586-020-03000-1	2020	Emiliano Rodríguez Mega	d41586-020-03000-1
