file_id	year	authors	journo_file_id
inequality-quantified-mind-the-gender-gap-1.12550	2013		inequality-quantified-mind-the-gender-gap-1.12550
earth-science-under-the-volcano-1.14323	2013	Alexandra Witze	504206a
neuroscience-new-angles-on-the-brain-1.14104	2013		503021a
malaria-a-race-against-resistance-1.14155	2013	Amy Maxmen	503186a
aids-prevention-africa-s-circumcision-challenge-1.14156	2013	Catherine de Lange	503182a
behaviour-and-biology-the-accidental-epigeneticist-1.14441	2013	Stephen S. Hall	505014a
graphene-the-quest-for-supercarbon-1.14193	2013	Mark Peplow	503327a
365-days-nature-s-10-1.14367	2013		504357a
radioisotopes-the-medical-testing-crisis-1.14325	2013	Richard Van Noorden	504202a
research-ethics-3-ways-to-blow-the-whistle-1.14226	2013	Ed Yong; Heidi Ledford; Richard Van Noorden	503454a
hpv-sex-cancer-and-a-virus-1.14194	2013	Megan Scudellari	503330a
research-evaluation-impact-1.13949	2013		502287a
brain-decoding-reading-minds-1.13989	2013	Kerri Smith	502428a
geology-north-america-s-broken-heart-1.14281	2013	Jessica Marshall	504024a
global-health-one-million-deaths-1.14269	2013	Erica Westly	504022a
immunology-the-pursuit-of-happiness-1.14225	2013	Jo Marchant	503458a
palaeontology-the-truth-about-t-rex-1.13988	2013	Brian Switek	502424a
astronomy-southern-star-1.14042	2013	Linda Nordling	502608a
ecology-lady-of-the-lakes-1.14043	2013	Hannah Hoag	502612a
neuroelectronics-smart-connections-1.14089	2013	M. Mitchell Waldrop	503022a
neurotechnology-brain-storm-1.14105	2013	Helen Shen	503026a
research-assessments-judgement-day-1.13950	2013	Brian Owens	502288a
global-warming-outlook-for-earth-1.13756	2013		501297a
ipcc-the-climate-chairman-1.13755	2013	Quirin Schiermeier	501303a
climate-assessments-25-years-of-the-ipcc-1.13751	2013	Nicola Jones	501298a
ethics-taboo-genetics-1.13858	2013	Erika Check Hayden	502026a
marine-science-oceanography-s-billion-dollar-baby-1.13803	2013	Alexandra Witze	501480a
biotechnology-the-start-up-engine-1.13802	2013	Heidi Ledford	501476a
astrometry-europe-s-star-power-1.13859	2013	Devin Powell	502022a
amazon-ecology-footprints-in-the-forest-1.13902	2013	Jeff Tollefson	502160a
neuroscience-through-the-eyes-of-a-mouse-1.13901	2013	Monya Baker	502156a
science-publishing-the-golden-club-1.13951	2013	Eugenie Samuel Reich	502291a
evidence-based-justice-corrupted-memory-1.13543	2013	Moheb Costandi	500268a
exotic-optics-metamaterial-world-1.13516	2013	Lee Billings	500138a
climate-science-a-line-in-the-sands-1.13515	2013	Jeff Tollefson	500136a
theoretical-physics-the-origins-of-space-and-time-1.13613	2013	Zeeya Merali	500516a
stem-cells-egg-engineers-1.13582	2013	David Cyranoski	500392a
systems-ecology-biology-on-the-high-seas-1.13665	2013	Claire Ainsworth	501020a
taxonomy-the-spy-who-loved-frogs-1.13710	2013	Brendan Borrell	501150a
physics-quantum-quest-1.13711	2013	Philip Ball	501154a
climate-science-rising-tide-1.13749	2013	Nicola Jones	501300a
