file_id	year	authors	journo_file_id
d41586-017-05922-9	2017	Dalmeet Singh Chawla	d41586-017-05922-9
d41586-017-07833-1	2017	W. Wayt Gibbs	d41586-017-07833-1
cybersecurity-for-the-travelling-scientist-1.22379	2017	Brian Owens	548123a
the-internet-of-things-comes-to-the-lab-1.21383	2017	Jeffrey M. Perkel	542125a
a-taste-of-toolbox-1.22728	2017		550144a
how-scientists-use-slack-1.21228	2017	Jeffrey M. Perkel	541123a
collaborative-software-development-made-easy-1.22729	2017	Andrew Silver	550143a
plot-a-course-through-the-genome-1.22553	2017	Jeffrey M. Perkel	549117a
how-bioinformatics-tools-are-bringing-genetic-analysis-to-the-masses-1.21545	2017	Jeffrey M. Perkel	543137a
unpaywall-finds-free-versions-of-paywalled-papers-1.21765	2017	Dalmeet Singh Chawla	nature.2017.21765
the-diy-electronics-transforming-research-1.21768	2017	Daniel Cressey	544125a
disks-back-from-the-dead-1.21916	2017	Monya Baker	545117a
single-cell-sequencing-made-simple-1.22233	2017	Jeffrey M. Perkel	547125a
software-simplified-1.22059	2017	Andrew Silver	546173a
