file_id	year	authors	journo_file_id
451855a	2008	Nathan Blow	451855a
451856a	2008		451856a
451858a	2008		451858a
451859a	2008		451859a
452901a	2008	Nathan Blow	452901a
452903a	2008		452903a
452904a	2008		452904a
452905a	2008		452905a
453687a	2008	Nathan Blow	453687a
453687b	2008		453687b
453689a	2008		453689a
453691a	2008		453691a
454795a	2008	Laura Bonetta	454795a
454795b	2008		454795b
454796a	2008		454796a
454799a	2008		454799a
455697a	2008	Nathan Blow	455697a
455698a	2008		455698a
455699a	2008		455699a
455701a	2008		455701a
456825a	2008	Nathan Blow	456825a
456826a	2008		456826a
456829a	2008		456829a
